,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,"Parkcentral Capital Management, L.P.",10%,S - Sale+OE,PRGX,$0.68,"-633,750","-$431,837","26,784,130",-2%,2006-05-15 21:39:27,2006-05-08
1,Cox Bruce E,Dir,S - Sale,NVAO,$4.50,"-2,000","-$9,000","943,000",0%,2006-05-15 21:31:10,2006-05-09
2,Otellini Paul S,Dir,S - Sale,GOOG,$390.41,"-11,000","-$4,294,549",0,-100%,2006-05-15 21:19:18,2006-05-11
3,Otellini Paul S,Dir,S - Sale+OE,GOOG,$394.56,"-9,000","-$3,551,071","11,000",-45%,2006-05-15 21:17:45,2006-05-11
4,Smith Ronald E,SEE REMARKS,S - Sale+OE,CNX,$95.40,"-10,000","-$954,000","32,545",-24%,2006-05-15 21:04:27,2006-05-11
5,Dong Guofu,VP,S - Sale,CAAS,$10.29,"-32,575","-$335,298","543,354",-6%,2006-05-15 20:45:24,2006-05-12
6,Hawkins Jeffrey C,CTO,S - Sale,PALM,$21.85,"-22,000","-$480,645","3,157,212",-1%,2006-05-15 20:41:26,2006-05-15
7,Kumar Sanjeev,COO,S - Sale+OE,PLAY,$10.63,"-10,000","-$106,260","70,834",-12%,2006-05-15 20:38:20,2006-05-15
8,Snyder Richard D,CEO,P - Purchase,GTW,$1.96,"+50,000","+$98,000","105,460",+90%,2006-05-15 20:31:33,2006-05-15
9,Hesse Martha O,Dir,S - Sale,PNW,$39.80,"-12,500","-$497,525","5,837",-68%,2006-05-15 20:31:23,2006-05-11
10,Pirate Capital LLC,10%,P - Purchase,CKR,$15.71,"+10,000","+$157,100","6,515,234",0%,2006-05-15 20:27:11,2006-05-12
11,Coel Kevin S,VP & Controller,S - Sale+OE,CNW,$59.58,"-3,000","-$178,740",665,-82%,2006-05-15 20:20:30,2006-05-11
12,Barbarossa Giovanni,CTO,S - Sale+OE,AVNX,$2.01,"-195,374","-$393,621",728,-100%,2006-05-15 20:15:40,2006-05-11
13,Coelho Philip H,CEO,P - Purchase,KOOL,$4.01,"+25,000","+$100,164","92,503",+37%,2006-05-15 20:15:39,2006-05-12
14,Riley Anthony A,"VP, Finance",S - Sale,AVNX,$1.99,"-16,208","-$32,254",0,-100%,2006-05-15 20:15:23,2006-05-11
15,Reloj Jaime,VP Sales,S - Sale+OE,AVNX,$2.17,"-173,694","-$376,159",0,-100%,2006-05-15 20:15:10,2006-05-11
16,Le Maitre Yves,"VP, GM, Optical Components",S - Sale,AVNX,$1.90,"-14,005","-$26,610",0,-100%,2006-05-15 20:14:49,2006-05-12
17,El Mansy Youssef A,Dir,S - Sale,NVLS,$24.19,"-1,667","-$40,323","6,333",-21%,2006-05-15 20:14:36,2006-05-12
18,Goudy Garry A,"SVP, Auto. Aftermarket",S - Sale,PPG,$68.61,"-3,000","-$205,824","10,599",-22%,2006-05-15 20:11:44,2006-05-11
19,Meisenbach John W,Dir,S - Sale,EXPD,$107.71,"-2,854","-$307,390","40,000",-7%,2006-05-15 20:06:57,2006-05-11
20,Meisenbach John W,Dir,S - Sale,EXPD,$107.11,"-32,146","-$3,443,192","42,854",-43%,2006-05-15 20:06:50,2006-05-11
21,Frankola James,Dir,P - Purchase,ACTI,$3.93,"+3,000","+$11,800","3,000",New,2006-05-15 19:48:03,2006-05-12
22,Bany Sarah,Dir,S - Sale,COLM,$50.94,"-6,000","-$305,646","1,245,937",0%,2006-05-15 19:46:50,2006-05-11
23,Hewitt Conrad W,Dir,P - Purchase,NBAN,$28.69,"+1,000","+$28,690","1,262",+382%,2006-05-15 19:42:39,2006-05-12
24,Benioff Marc,"COB, CEO, 10%",S - Sale,CRM,$31.68,"-7,500","-$237,571","22,351,006",0%,2006-05-15 19:34:24,2006-05-12
25,Renert William A,Dir,S - Sale,SKP,$23.00,"-1,895","-$43,585","33,667",-5%,2006-05-15 19:33:51,2006-05-12
26,Benioff Marc,"COB, CEO, 10%",S - Sale,CRM,$31.41,"-12,500","-$392,656","22,358,506",0%,2006-05-15 19:33:37,2006-05-12
27,Harris Parker,"EVP, Technology",S - Sale,CRM,$31.58,"-3,000","-$94,730","1,543,079",0%,2006-05-15 19:32:49,2006-05-12
28,Rodriguez Harold J Jr,"Mg. Dir-Fin, Regn., Ops.",S - Sale,GHL,$71.00,"-17,094","-$1,213,674","93,459",-15%,2006-05-15 19:32:29,2006-05-12
29,Niehaus Robert H,"Chrmn, Greenhill Cap Ptners LP",S - Sale,GHL,$71.00,"-218,030","-$15,480,130","1,196,578",-15%,2006-05-15 19:29:07,2006-05-12
30,Liu John D,CFO,S - Sale,GHL,$71.00,"-23,217","-$1,648,407","126,938",-15%,2006-05-15 19:26:40,2006-05-12
31,Poyhonen John,"SVP Chf Fin, Chf Bus Officer",S - Sale,SNMX,$12.78,"-1,500","-$19,166","81,837",-2%,2006-05-15 19:24:20,2006-05-15
32,Pond Norman H,COB,S - Sale,IVAC,$25.63,"-5,000","-$128,165","802,885",-1%,2006-05-15 19:24:11,2006-05-11
33,Greenhill Robert F,"Chrm, CEO, Greenhill Fam LP 10, 10%",S - Sale,GHL,$71.00,"-930,996","-$66,100,716","4,097,683",-19%,2006-05-15 19:23:54,2006-05-12
34,Leonhardt Harry J,"SVP Gen. Counsel, Corp Sec.",S - Sale,SNMX,$12.78,"-1,000","-$12,777","79,391",-1%,2006-05-15 19:22:56,2006-05-15
35,Hoch Louis A,"Pres, COO, 10%",S - Sale,PYDS,$0.13,"-5,250",-$677,"3,594,627",0%,2006-05-15 19:22:26,2006-05-11
36,Borrows Simon A,Non-U.S. Pres,S - Sale,GHL,$71.00,"-290,066","-$20,594,686","1,585,932",-15%,2006-05-15 19:21:54,2006-05-12
37,Snyder Kent,"Pres, CEO",S - Sale,SNMX,$12.78,"-4,000","-$51,108","110,795",-3%,2006-05-15 19:21:49,2006-05-15
38,Bok Scott L,U.S. Pres,S - Sale,GHL,$71.00,"-290,023","-$20,591,633","1,585,698",-15%,2006-05-15 19:18:31,2006-05-12
39,Stortz Thomas C,EVP,S - Sale,LVLT,$4.89,"-47,500","-$232,275","1,082,832",-4%,2006-05-15 19:17:55,2006-05-15
40,Bushby Kevin,EVP - WW Field Operations,S - Sale+OE,CDNS,$19.17,"-28,750","-$551,094","191,690",-13%,2006-05-15 19:10:44,2006-05-12
41,Walker Winston W,Dir,P - Purchase,ACC,$23.23,"+2,000","+$46,450","14,000",+17%,2006-05-15 19:08:04,2006-05-12
42,Mehrberg Randall E,EVP,S - Sale,EXC,$54.59,"-2,850","-$155,574","64,511",-4%,2006-05-15 19:05:57,2006-05-12
43,Mehrberg Randall E,EVP,S - Sale+OE,EXC,$54.18,"-4,400","-$238,370","2,850",-61%,2006-05-15 19:05:34,2006-05-12
