,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Perry Marlene F,"VP, Human Resource",S - Sale+OE,RNVS,$22.72,"-1,000","-$22,720","2,016",-33%,2006-03-16 21:39:35,2006-03-15
1,Leigh Peter V,"VP Finance, C.F.O",S - Sale+OE,OVTI,$27.00,"-15,000","-$405,018","4,950",-75%,2006-03-16 21:38:22,2006-03-16
2,Delong Michael P,Dir,S - Sale+OE,SYKE,$14.10,"-8,334","-$117,547","1,448",-85%,2006-03-16 21:38:08,2006-03-14
3,Hayes James B,Dir,P - Purchase,ASHW,$8.97,"+2,000","+$17,936","4,000",+100%,2006-03-16 21:37:05,2006-03-14
4,Macdonald Iain A,Dir,S - Sale+OE,SYKE,$14.13,"-8,000","-$113,040","2,237",-78%,2006-03-16 21:36:22,2006-03-14
5,Page Lawrence,"Pres, Products, Asst. Secty, 10%",S - Sale,GOOG,$342.02,"-8,052","-$2,753,936","36,802",-18%,2006-03-16 21:22:27,2006-03-15
6,Boutacoff Theodore A,Dir,S - Sale,IRIX,$10.00,"-6,000","-$60,000","180,945",-3%,2006-03-16 21:21:28,2006-03-16
7,Page Lawrence,"Pres, Products, Asst. Secty, 10%",S - Sale+OE,GOOG,$345.16,"-116,948","-$40,365,340","44,854",-72%,2006-03-16 21:20:34,2006-03-15
8,Rosenberg Jonathan J,VP Prod. Mgmt.,S - Sale,GOOG,$344.77,-890,"-$306,846","239,251",0%,2006-03-16 21:19:51,2006-03-15
9,Reyes George,CFO,S - Sale,GOOG,$344.81,"-1,508","-$519,980","29,626",-5%,2006-03-16 21:18:59,2006-03-15
10,Reyes George,CFO,S - Sale,GOOG,$344.80,-742,"-$255,842","219,531",0%,2006-03-16 21:18:25,2006-03-15
11,Gupta Umang P,"COB, CEO, 10%",S - Sale,KEYN,$11.06,-520,"-$5,751","1,973,245",0%,2006-03-16 21:02:34,2006-03-15
12,Samath Jamie,Corporate Controller,S - Sale,NSM,$28.00,"-2,000","-$56,011","10,509",-16%,2006-03-16 20:57:25,2006-03-15
13,Henley Jeffrey,Exec COB,S - Sale+OE,ORCL,$13.00,"-500,000","-$6,500,833","34,516",-94%,2006-03-16 20:47:55,2006-03-15
14,Bany Sarah,Dir,S - Sale,COLM,$52.93,"-44,225","-$2,341,021","1,620,437",-3%,2006-03-16 20:45:16,2006-03-14
15,Seawell A Brooke,Dir,S - Sale+OE,NVDA,$49.10,"-20,000","-$982,098","50,000",-29%,2006-03-16 20:44:54,2006-03-14
16,Stall Richard A,CTO,S - Sale+OE,EMKR,$9.22,"-70,370","-$648,657","78,280",-47%,2006-03-16 20:37:26,2006-03-15
17,Eisenson Michael R,Dir,S - Sale,UTI,$32.25,"-249,450","-$8,044,184","59,156",-81%,2006-03-16 20:32:43,2006-03-03
18,Blum Robert I,"EVP, Corp. Development, CBO",S - Sale+OE,CYTK,$7.01,"-4,375","-$30,669","90,000",-5%,2006-03-16 20:27:29,2006-03-15
