,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Simmons Robert J,CFO,S - Sale+OE,ET,$25.33,"-47,243","-$1,196,779","165,504",-22%,2006-05-12 21:33:47,2006-05-12
1,Simmons Robert J,CFO,S - Sale+OE,ET,$26.25,"-47,243","-$1,240,044","165,504",-22%,2006-05-12 21:32:09,2006-05-11
2,Duroc-Danner Bernard J,"COB, Pres, CEO",S - Sale,WFT,$58.29,-900,"-$52,463","630,861",0%,2006-05-12 21:10:43,2006-05-10
3,Duroc-Danner Bernard J,"COB, Pres, CEO",S - Sale,WFT,$58.01,"-28,300","-$1,641,652","312,436",-8%,2006-05-12 21:10:18,2006-05-10
4,Duroc-Danner Bernard J,"COB, Pres, CEO",S - Sale,WFT,$57.69,"-106,800","-$6,161,122","522,936",-17%,2006-05-12 21:09:50,2006-05-10
5,Duroc-Danner Bernard J,"COB, Pres, CEO",S - Sale+OE,WFT,$57.27,"-64,000","-$3,665,300","755,136",-8%,2006-05-12 21:09:15,2006-05-10
6,Getz Robert,Dir,S - Sale+OE,NVTL,$10.79,"-83,334","-$899,174",0,-100%,2006-05-12 20:56:08,2006-05-12
7,Marshall Arthur,Dir,P - Purchase,WAL,$36.76,"+13,400","+$492,584","242,596",+6%,2006-05-12 20:00:52,2006-05-11
8,Arnold Doyle L,Vice COB and,S - Sale+OE,ZION,$81.91,"-5,000","-$409,550","11,167",-31%,2006-05-12 19:52:42,2006-05-11
9,Bellon Nolan X,SVP,S - Sale+OE,ZION,$81.64,"-9,690","-$791,070","11,794",-45%,2006-05-12 19:52:26,2006-05-10
10,Zevnik Paul A,Dir,S - Sale,EVC,$8.63,"-13,821","-$119,238",0,-100%,2006-05-12 19:39:55,2006-05-10
11,Wilkinson Philip C,"Pres, COO, 10%",S - Sale,EVC,$8.50,"-48,500","-$412,189","9,245,600",-1%,2006-05-12 19:39:27,2006-05-12
12,Wilkinson Philip C,"Pres, COO, 10%",S - Sale,EVC,$8.53,"-40,000","-$341,088","9,294,100",0%,2006-05-12 19:39:01,2006-05-11
13,Feldman Roger,Dir,P - Purchase,ONVI,$4.90,"+25,000","+$122,500","407,502",+7%,2006-05-12 19:38:34,2006-05-10
14,Wilkinson Philip C,"Pres, COO, 10%",S - Sale,EVC,$8.72,"-64,800","-$564,749","9,334,100",-1%,2006-05-12 19:38:16,2006-05-10
15,Wimpfheimer Loren,SVP,S - Sale+OE,WITS,$22.89,"-11,950","-$273,476","1,000",-92%,2006-05-12 19:36:24,2006-05-10
16,Terheggen Daniel Louis,Dir,S - Sale+OE,DECK,$42.75,"-3,334","-$142,540","3,071",-52%,2006-05-12 19:34:09,2006-05-10
17,Van Buskirk Robert M,"Pres, CEO",S - Sale+OE,SMDI,$10.53,"-12,500","-$131,578","124,759",-9%,2006-05-12 19:28:18,2006-05-10
18,Hughes William R,"EVP, GC, Secretary",S - Sale+OE,TIBX,$8.71,"-20,168","-$175,714",0,-100%,2006-05-12 19:23:38,2006-05-10
19,Shubat Alexander,Chief Technical Officer,S - Sale,VIRL,$10.61,"-5,100","-$54,115","1,649,707",0%,2006-05-12 19:22:06,2006-05-12
20,Bass Ronald Scott,Principal Accounting Officer,P - Purchase,CDNC,$0.02,"+462,340","+$8,322","1,045,770",+79%,2006-05-12 19:08:28,2006-05-05
21,Bass Ronald Scott,Principal Accounting Officer,S - Sale+OE,CDNC,$0.02,"-149,200","-$3,133","1,045,770",-12%,2006-05-12 19:08:28,2006-05-02
22,Calhoun Christopher J,CEO,S - Sale+OE,CYTX,$8.06,"-11,960","-$96,400","300,083",-4%,2006-05-12 19:03:15,2006-05-10
23,Evans Ronald J,"Pres, CEO",S - Sale+OE,NGA,$4.93,"-130,000","-$641,000","376,614",-26%,2006-05-12 19:00:17,2006-05-10
24,Alexander Jacob F III,Dir,P - Purchase,FNBN,$19.27,+600,"+$11,561","1,000",+150%,2006-05-12 18:58:00,2006-05-11
25,Harris Parker,"EVP, Technology",S - Sale,CRM,$33.35,"-3,000","-$100,059","1,546,079",0%,2006-05-12 18:56:37,2006-05-11
26,Moellenhoff David,CTO,S - Sale,CRM,$32.13,"-8,600","-$276,310","888,534",-1%,2006-05-12 18:55:25,2006-05-11
27,Benioff Marc,"COB, CEO, 10%",S - Sale,CRM,$32.75,"-1,100","-$36,029","22,371,006",0%,2006-05-12 18:54:34,2006-05-11
28,Miller James D,"Controller, Asst. Secretary",S - Sale,BBSI,$27.00,"-1,500","-$40,500","15,000",-9%,2006-05-12 18:54:01,2006-05-10
29,Benioff Marc,"COB, CEO, 10%",S - Sale,CRM,$32.57,"-9,600","-$312,695","22,372,106",0%,2006-05-12 18:53:52,2006-05-11
30,Young Byron,Dir,P - Purchase,CDNC,$0.02,"+95,150","+$1,713","5,460,710",+2%,2006-05-12 18:53:33,2006-05-05
31,Young Byron,Dir,S - Sale,CDNC,$0.02,"-260,679","-$5,137","5,460,710",-5%,2006-05-12 18:53:33,2006-05-04
32,Benioff Marc,"COB, CEO, 10%",S - Sale,CRM,$32.12,"-9,300","-$298,683","22,381,706",0%,2006-05-12 18:53:01,2006-05-11
33,Harris Parker,"EVP, Technology",S - Sale,CRM,$32.91,"-3,000","-$98,733","1,549,079",0%,2006-05-12 18:51:46,2006-05-10
34,Novotny Glenn W,"Pres, CEO",S - Sale+OE,CENT,$46.50,"-1,735","-$80,681","121,148",-1%,2006-05-12 18:51:04,2006-05-12
35,Davidow William H,Dir,S - Sale,RMBS,$33.87,"-30,000","-$1,016,119","648,102",-4%,2006-05-12 18:50:45,2006-05-10
36,Ramsey Craig,Dir,S - Sale,CRM,$38.30,"-50,000","-$1,915,224","1,050,000",-5%,2006-05-12 18:50:39,2006-03-27
37,Snpe Inc,10%,S - Sale,BOOM,$33.34,"-5,153,897","-$171,818,041","773,085",-87%,2006-05-12 18:48:13,2006-05-10
38,Fiebig Jeffrey William,Dir,P - Purchase,CDNC,$72.62,"+325,980","+$23,672,448","5,390,411",+6%,2006-05-12 18:47:12,2006-05-05
39,Fiebig Jeffrey William,Dir,S - Sale+OE,CDNC,$0.02,"-272,700","-$5,360","5,390,411",-5%,2006-05-12 18:47:12,2006-05-04
40,Rothblatt Martine A,CEO,S - Sale,UTHR,$53.77,"-5,000","-$268,845","220,368",-2%,2006-05-12 18:46:32,2006-05-11
41,Hagemann Robert,"SVP, CFO",S - Sale+OE,DGX,$57.88,"-72,890","-$4,219,161","66,990",-52%,2006-05-12 18:42:51,2006-05-10
42,Wilson Richard Eugene,Dir,P - Purchase,CDNC,$0.02,"+833,340","+$15,000","3,608,517",+30%,2006-05-12 18:40:33,2006-05-05
43,Garneau Edouard A,Cheif Exec Officer,P - Purchase,CDNC,$0.02,"+2,926,620","+$57,501","26,436,673",+12%,2006-05-12 18:34:03,2006-05-05
44,Garneau Edouard A,Cheif Exec Officer,S - Sale+OE,CDNC,$0.02,"-396,000","-$8,113","26,436,673",-1%,2006-05-12 18:34:03,2006-05-03
45,Cook Vikki C,10%,S - Sale,IMTS,$0.03,"-50,000","-$1,500","10,508,282",0%,2006-05-12 18:25:46,2006-05-11
46,Jones Jeffery E,VP-Production,S - Sale+OE,WGR,$53.76,"-10,000","-$537,569","9,532",-51%,2006-05-12 18:25:23,2006-05-12
47,Merriman D Jonathan,"COB, CEO, 10%",P - Purchase,MEM,$1.13,"+23,000","+$26,073","2,327,150",+1%,2006-05-12 18:24:07,2006-05-12
48,McCabe Robert A Jr,Dir,P - Purchase,PNFP,$28.49,"+3,000","+$85,470","289,793",+1%,2006-05-12 18:22:33,2006-05-10
49,Choate Timothy C,"CEO, 10%",P - Purchase,APTM,$5.99,"+2,000","+$11,980","1,014,106",0%,2006-05-12 18:22:17,2006-05-11
50,Gotcher Alan J,CEO,P - Purchase,ALTI,$3.01,"+12,600","+$37,893","89,900",+16%,2006-05-12 18:21:54,2006-05-12
51,Stark Michael J,Affiliate of Director,S - Sale,EQIX,$65.65,"-16,103","-$1,057,162","738,300",-2%,2006-05-12 18:21:54,2006-05-10
52,Hagemann Robert,"SVP, CFO",S - Sale+OE,DGX,$57.88,"-72,890","-$4,219,161","66,990",-52%,2006-05-12 18:19:41,2006-05-10
53,Matsuda Minoru,Dir,S - Sale+OE,IRF,$47.54,"-5,000","-$237,700","5,000",-50%,2006-05-12 18:12:54,2006-05-11
54,"Harbinger Capital Partners Master Fund I, Ltd.",10%,P - Purchase,OGBY,$20.97,"+158,085","+$3,314,275","748,422",+27%,2006-05-12 18:11:52,2006-05-10
55,Rowsey Paul E III,Dir,S - Sale+OE,ESV,$54.41,"-4,000","-$217,652","12,499",-24%,2006-05-12 18:11:51,2006-05-12
56,Cook Craig Arthur,Chief Administrative Officer,P - Purchase,CDNC,$16.47,"+416,080","+$6,852,156","2,284,225",+22%,2006-05-12 18:10:51,2006-05-05
57,Cook Craig Arthur,Chief Administrative Officer,S - Sale+OE,CDNC,$0.02,"-149,200","-$3,133","2,284,225",-6%,2006-05-12 18:10:51,2006-05-02
58,Waitt Theodore W,10%,S - Sale,GTW,$1.93,"-100,000","-$193,000","81,289,644",0%,2006-05-12 18:09:43,2006-05-12
59,Singer Martin H,"COB, CEO",S - Sale,PCTI,$10.22,"-7,500","-$76,669","224,715",-3%,2006-05-12 18:07:08,2006-05-12
60,Crosslink Capital Inc,Affiliate of Director,S - Sale,EQIX,$65.65,"-16,103","-$1,057,162","738,300",-2%,2006-05-12 18:06:18,2006-05-10
61,C V Starr & Co Inc,10%,S - Sale,AIG,$65.86,"-300,000","-$19,758,150","41,277,246",-1%,2006-05-12 18:05:55,2006-05-09
62,Milinazzo Alan,COO,P - Purchase,OFIX,$37.78,+200,"+$7,556",200,New,2006-05-12 18:01:33,2005-11-02
63,Zernell James T,VP - Production,S - Sale+OE,NFX,$49.96,"-10,000","-$499,557","59,137",-14%,2006-05-12 18:01:13,2006-05-11
64,"Harbinger Capital Partners Master Fund I, Ltd.",10%,P - Purchase,APN,$4.25,"+1,227,000","+$5,214,750","12,000,000",+11%,2006-05-12 17:58:03,2006-05-10
65,Neustaetter Thomas M,Dir,S - Sale,SLTC,$2.74,"-7,500","-$20,541","1,796,918",0%,2006-05-12 17:56:52,2006-05-10
66,Roberts Donald Martin,"Sr.VP, GC",S - Sale+OE,DJO,$40.70,"-15,000","-$610,500","8,432",-64%,2006-05-12 17:56:26,2006-05-10
67,Legrottaglie Vito,Vice Pres Mgmt Info Systems,S - Sale+OE,PROG,$13.05,"-10,000","-$130,500",270,-97%,2006-05-12 17:55:37,2006-05-10
68,"Dutchess Advisors, LLC",See Footnote (1),S - Sale,NWKI,$0.42,"-4,796","-$2,014","260,482",-2%,2006-05-12 17:53:15,2006-05-12
69,Pennington Hal N,Dir,P - Purchase,PNFP,$27.97,"+3,000","+$83,910","3,400",+750%,2006-05-12 17:53:09,2006-05-11
70,Garneau Edouard A,CEO,P - Purchase,CDNC,$0.02,"+515,670","+$9,282","23,956,280",+2%,2006-05-12 17:53:06,2006-05-05
71,Garneau Edouard A,CEO,S - Sale+OE,CDNC,$0.02,"-396,000","-$8,113","23,956,280",-2%,2006-05-12 17:53:06,2006-05-03
72,Hoag Jay C,"Dir, 10%",S - Sale,INPC,$8.40,"-1,834,057","-$15,406,079","5,205,176",-26%,2006-05-12 17:50:46,2006-05-11
73,Gallagher J Patrick Jr,"Pres, CEO",S - Sale+OE,AJG,$27.02,"-2,000","-$54,036","668,276",0%,2006-05-12 17:48:53,2006-05-11
74,Pirate Capital LLC,10%,P - Purchase,CBUK,$11.75,"+2,500","+$29,375","1,528,919",0%,2006-05-12 17:47:57,2006-05-11
75,Sutton John,VP,S - Sale+OE,MCY,$58.00,"-2,000","-$116,000","3,168",-39%,2006-05-12 17:47:31,2006-05-10
76,Reep Fatima,Dir,S - Sale,FCGI,$8.35,"-10,000","-$83,506","2,285,206",0%,2006-05-12 17:43:34,2006-05-12
77,Holster Robert M,"CEO, COB",S - Sale+OE,HMSY,$9.50,"-10,000","-$95,000","93,310",-10%,2006-05-12 17:40:30,2006-05-10
78,Ashner Michael L,"COB, CEO, 10%",P - Purchase,FUR,$5.25,"+675,958","+$3,548,780","22,096,625",+3%,2006-05-12 17:38:04,2006-05-11
