,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Gruenler Carl,CEO,S - Sale+OE,USGA,$0.05,"-1,628,137","-$76,207","3,058,938",-35%,2006-04-25 21:56:08,2006-04-21
1,Capital Alliance Group Inc.,10%,S - Sale,SNMD,$6.25,"-2,000","-$12,500","7,180,813",0%,2006-04-25 21:34:50,2006-04-21
2,Lubell Jeffrey,"CEO, 10%",S - Sale,TRLG,$19.00,"-8,500","-$161,510","7,807,633",0%,2006-04-25 21:31:57,2006-04-05
3,Chu Toby,10%,S - Sale,SNMD,$6.08,-500,"-$3,040","81,850",-1%,2006-04-25 21:28:52,2006-04-21
4,Berman Stephen G,"COO, Pres, Secretary",S - Sale+OE,JAKK,$26.02,"-75,000","-$1,951,500","487,214",-13%,2006-04-25 21:15:23,2006-04-21
5,Benioff Marc,"COB, CEO, 10%",S - Sale,CRM,$34.74,"-9,500","-$330,041","22,611,006",0%,2006-04-25 21:10:51,2006-04-25
6,Benioff Marc,"COB, CEO, 10%",S - Sale,CRM,$34.20,"-10,500","-$359,097","22,620,506",0%,2006-04-25 21:10:09,2006-04-25
7,Juster Kenneth,"EVP Law, Policy, Corp. Strat.",S - Sale+OE,CRM,$33.62,"-2,000","-$67,240",0,-100%,2006-04-25 21:07:42,2006-04-25
8,Harris Parker,"EVP, Technology",S - Sale,CRM,$34.31,"-3,000","-$102,938","1,582,079",0%,2006-04-25 21:06:45,2006-04-25
9,Cavalieri Jim,"Chief Security, Risk Officer",S - Sale,CRM,$34.36,"-3,500","-$120,271","308,000",-1%,2006-04-25 21:05:18,2006-04-25
10,Tecore Inc,10%,S - Sale+OE,ANCC,$0.70,"-20,000","-$14,078","3,590,221",-1%,2006-04-25 20:59:29,2006-04-21
11,Scheier Kevin,VP Worldwide Sales,S - Sale+OE,SCKT,$1.21,"-1,000","-$1,210",0,-100%,2006-04-25 20:46:54,2006-04-25
12,Rauchle Craig W,"Pres, COO",S - Sale+OE,INTL,$22.25,"-1,000","-$22,250","5,898",-14%,2006-04-25 20:28:23,2006-04-24
