,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Cakebread Steven,CFO,S - Sale+OE,CRM,$35.28,"-5,000","-$176,375","177,354",-3%,2006-04-27 21:47:03,2006-04-27
1,Moellenhoff David,CTO,S - Sale,CRM,$35.29,"-8,600","-$303,453","905,734",-1%,2006-04-27 21:46:27,2006-04-27
2,Midwood Capital Management LLC,10%,P - Purchase,CVU,$7.46,"+12,900","+$96,208","584,649",+2%,2006-04-27 21:39:08,2006-04-25
3,Midwood Capital Management LLC,10%,P - Purchase,CVU,$7.39,"+26,000","+$192,150","571,749",+5%,2006-04-27 21:37:20,2006-04-25
4,Benioff Marc,"COB, CEO, 10%",S - Sale,CRM,$35.46,"-1,200","-$42,550","22,571,006",0%,2006-04-27 21:33:35,2006-04-27
5,Benioff Marc,"COB, CEO, 10%",S - Sale,CRM,$35.24,"-18,800","-$662,438","22,572,206",0%,2006-04-27 21:32:47,2006-04-27
6,Hennessy John L,Dir,S - Sale+OE,GOOG,$432.83,-160,"-$69,252","6,645",-2%,2006-04-27 21:31:09,2006-04-25
7,Benioff Marc,"COB, CEO, 10%",S - Sale,CRM,$35.39,"-1,000","-$35,394","22,591,006",0%,2006-04-27 21:26:05,2006-04-26
8,Benioff Marc,"COB, CEO, 10%",S - Sale,CRM,$35.19,"-19,000","-$668,529","22,592,006",0%,2006-04-27 21:26:01,2006-04-26
9,Bakwin Edward M,Dir,S - Sale+OE,MBFI,$35.14,"-2,000","-$70,280","1,150,638",0%,2006-04-27 21:25:20,2006-04-26
10,Fritz Charles W,Dir,S - Sale,OTCBB,$0.25,"-282,800","-$71,124","12,068,755",-2%,2006-04-27 21:10:47,2006-04-26
11,Anderson Donald E,Dir,P - Purchase,ALAN,$0.61,"+820,000","+$500,200","2,568,161",+47%,2006-04-27 21:00:30,2006-04-26
12,Azoulay Prosper,Dir,S - Sale,VPRO,$0.72,"-20,000","-$14,400","240,000",-8%,2006-04-27 20:58:32,2006-04-21
13,King Alan,Dir,S - Sale,VLTR,$17.63,"-2,000","-$35,260","911,000",0%,2006-04-27 20:51:14,2006-04-25
14,Chan Nelson C,"EVP, GM, Consumer Handset Bus.",S - Sale+OE,SNDK,$62.50,"-25,000","-$1,562,500","5,869",-81%,2006-04-27 20:35:04,2006-04-26
15,Dutta Rajiv,"Pres, Skype",S - Sale+OE,EBAY,$34.21,"-30,000","-$1,026,279","42,618",-41%,2006-04-27 20:26:26,2006-04-26
16,Barnholt Edward W,Dir,P - Purchase,EBAY,$34.24,"+4,500","+$154,080","4,500",New,2006-04-27 20:22:13,2006-04-26
17,Hogan Michael R,Dir,P - Purchase,PULB,$16.50,"+9,000","+$148,464","10,000",+900%,2006-04-27 20:20:48,2006-04-27
