,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Whelton Robert,"EVP, Operations",S - Sale+OE,MCRL,$13.24,"-4,615","-$61,103","5,262",-47%,2006-05-04 21:43:55,2006-05-03
1,Furman William A,"Pres, CEO",S - Sale,GBX,$42.21,"-68,600","-$2,895,572","8,900",-89%,2006-05-04 21:38:39,2006-05-04
2,C V Starr & Co Inc,10%,S - Sale,AIG,$64.98,"-200,000","-$12,996,542","41,877,246",0%,2006-05-04 21:35:31,2006-05-01
3,Morrison Duncan A J,Dir,S - Sale,IIVI,$21.38,"-10,000","-$213,849","38,840",-20%,2006-05-04 21:32:46,2006-05-01
4,Kelly Stephen,Dir,S - Sale,CHRD,$3.50,"-11,300","-$39,550","438,364",-3%,2006-05-04 21:18:01,2006-05-03
5,Shriram Kavitark Ram,Dir,S - Sale,GOOG,$393.87,"-19,287","-$7,596,470",0,-100%,2006-05-04 21:04:29,2006-05-02
6,Shriram Kavitark Ram,Dir,S - Sale,GOOG,$392.94,"-50,801","-$19,961,542","31,968",-61%,2006-05-04 21:03:54,2006-05-02
7,Conlin John Edward,Dir,P - Purchase,POPEZ,$34.50,+500,"+$17,250","3,150",+19%,2006-05-04 21:03:36,2006-05-03
8,Shriram Kavitark Ram,Dir,S - Sale+OE,GOOG,$396.43,"-104,912","-$41,589,766","82,769",-56%,2006-05-04 21:03:08,2006-05-02
9,Rosenberg Jonathan J,VP Prod. Mgmt.,S - Sale,GOOG,$395.42,"-5,915","-$2,338,929","184,821",-3%,2006-05-04 20:59:15,2006-05-02
10,Reyes George,CFO,S - Sale,GOOG,$395.34,"-4,565","-$1,804,738","194,656",-2%,2006-05-04 20:58:46,2006-05-02
11,Brown Shona L,VP Business Oper.,S - Sale+OE,GOOG,$400.70,-198,"-$79,339",0,-100%,2006-05-04 20:57:54,2006-05-02
12,Brown Shona L,VP Business Oper.,S - Sale+OE,GOOG,$400.77,-583,"-$233,646",0,-100%,2006-05-04 20:57:28,2006-05-02
13,Brin Sergey,"Pres, Tech, Asst. Secty, 10%",S - Sale,GOOG,$393.85,"-91,500","-$36,037,434","78,427",-54%,2006-05-04 20:56:59,2006-05-02
14,Brin Sergey,"Pres, Tech, Asst. Secty, 10%",S - Sale+OE,GOOG,$398.70,"-38,500","-$15,349,969","169,927",-18%,2006-05-04 20:56:37,2006-05-02
15,Nitta Leslyn M,Controller,S - Sale+OE,DECK,$42.50,"-5,000","-$212,500","1,780",-74%,2006-05-04 20:55:23,2006-05-02
16,Silveira Joseph P,Dir,P - Purchase,DMND,$19.27,"+1,308","+$25,203","34,377",+4%,2006-05-04 20:53:38,2006-05-03
17,Gilbert John J,Dir,P - Purchase,DMND,$19.30,"+1,037","+$20,018","72,016",+1%,2006-05-04 20:53:17,2006-05-03
18,Zaebst Mark L,EVP,S - Sale+OE,LTM,$47.42,"-9,000","-$426,770","5,000",-64%,2006-05-04 20:43:55,2006-05-03
19,Zinn Matthew,"SVP,GC, Secretary, CPO",S - Sale+OE,TIVO,$8.19,"-1,562","-$12,789","4,479",-26%,2006-05-04 20:43:15,2006-05-03
20,Zaebst Mark L,EVP,S - Sale+OE,LTM,$47.12,"-23,000","-$1,083,764","5,000",-82%,2006-05-04 20:42:56,2006-05-02
21,Devreese Guy,"COB, 10%",S - Sale,REMI,$2.25,"-127,641","-$287,192","5,233,680",-2%,2006-05-04 20:42:10,2006-05-02
22,Howell Janice M,VP of Operations,P - Purchase,DECK,$4.30,"+1,257","+$5,405","3,844",+49%,2006-05-04 20:38:35,2006-05-03
23,Howell Janice M,VP of Operations,S - Sale+OE,DECK,$42.58,"-15,891","-$676,688","3,844",-81%,2006-05-04 20:38:35,2006-05-02
24,Korgav Ibrahim,SVP of Manufacturing,S - Sale+OE,NETL,$38.60,"-12,500","-$482,535","12,500",-50%,2006-05-04 20:38:06,2006-05-02
25,Zander Marcia Jean,VP of Sales,S - Sale+OE,NETL,$37.53,"-25,000","-$938,243","25,052",-50%,2006-05-04 20:37:13,2006-05-02
26,Cortes Roland Benjamin,"Sr. Dir, Secretary",S - Sale+OE,NETL,$38.60,"-8,000","-$308,822","8,000",-50%,2006-05-04 20:36:33,2006-05-02
27,Harris Parker,"EVP, Technology",S - Sale,CRM,$34.58,"-3,000","-$103,750","1,564,079",0%,2006-05-04 20:36:20,2006-05-03
28,Witmer Donald B,"VP, CFO",S - Sale+OE,NETL,$49.98,-40,"-$2,000","2,000",-2%,2006-05-04 20:36:19,2006-05-02
29,Jankov Ronald Steven,"Pres, CEO",S - Sale,NETL,$38.63,"-32,715","-$1,263,911","310,183",-10%,2006-05-04 20:35:37,2006-05-02
30,Jankov Ronald Steven,"Pres, CEO",S - Sale,NETL,$37.74,"-65,000","-$2,452,782","381,060",-15%,2006-05-04 20:35:23,2006-05-02
31,Benioff Marc,"COB, CEO, 10%",S - Sale,CRM,$34.69,"-7,700","-$267,092","22,491,006",0%,2006-05-04 20:34:53,2006-05-03
32,Smith Lonnie M,"Pres, CEO",S - Sale+OE,ISRG,$124.33,"-15,000","-$1,865,000","400,000",-4%,2006-05-04 20:34:22,2006-05-03
33,Benioff Marc,"COB, CEO, 10%",S - Sale,CRM,$34.43,"-12,300","-$423,539","22,498,706",0%,2006-05-04 20:34:22,2006-05-03
34,Brakke James G,Dir,S - Sale+OE,CCBI,$15.69,"-28,100","-$440,889","174,881",-14%,2006-05-04 20:31:30,2006-05-03
35,Davis Barry E,"Pres, CEO",S - Sale,XTXI,$75.74,"-6,000","-$454,410","587,490",-1%,2006-05-04 20:24:57,2006-04-19
36,Hui Chi Hung,"VP, Engineering",S - Sale,PSEM,$10.10,"-1,500","-$15,150","762,895",0%,2006-05-04 20:22:13,2006-05-04
