,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Stark Laura,Senior Vice-Pres,P - Purchase,RMBS,$10.88,"+1,746","+$18,996","33,251",+6%,2006-04-28 21:52:03,2006-04-28
1,Stark Laura,Senior Vice-Pres,S - Sale+OE,RMBS,$39.45,"-60,000","-$2,367,100","33,251",-64%,2006-04-28 21:52:03,2006-04-26
2,Donnelly Kevin,Senior Vice-Pres,P - Purchase,RMBS,$10.88,"+1,681","+$18,289","28,042",+6%,2006-04-28 21:49:35,2006-04-28
3,Donnelly Kevin,Senior Vice-Pres,S - Sale+OE,RMBS,$39.60,"-60,000","-$2,376,276","28,042",-68%,2006-04-28 21:49:35,2006-04-26
4,Robinson John,10%,S - Sale,USGA,$0.05,"-450,400","-$22,520","58,076,165",-1%,2006-04-28 21:44:52,2006-04-28
5,Patel Samir,Senior Vice-Pres,P - Purchase,RMBS,$10.88,"+1,493","+$16,244","85,898",+2%,2006-04-28 21:42:27,2006-04-28
6,Patel Samir,Senior Vice-Pres,S - Sale+OE,RMBS,$39.89,"-40,000","-$1,595,554","85,898",-32%,2006-04-28 21:42:27,2006-04-26
7,Farmwald Mike,Dir,S - Sale,RMBS,$40.23,"-25,000","-$1,005,835","2,780,936",-1%,2006-04-28 21:18:32,2006-04-27
8,Hennessy John L,Dir,S - Sale+OE,GOOG,$426.44,-160,"-$68,230","6,645",-2%,2006-04-28 21:17:20,2006-04-26
9,Mello Robert A,VP,S - Sale+OE,IRI,$18.72,"-20,000","-$374,488","1,500",-93%,2006-04-28 21:04:47,2005-06-02
10,Schwalbe John F,Dir,S - Sale+OE,MIND,$16.42,"-15,000","-$246,300","6,000",-71%,2006-04-28 20:57:01,2006-04-26
11,Chu Toby,10%,P - Purchase,SNMD,$0.00,+0,+$0,"92,600",0%,2006-04-28 20:45:28,2006-04-28
12,Zinsner David,"VP, Finance, CFO",S - Sale+OE,ISIL,$29.70,"-9,506","-$282,364","2,618",-78%,2006-04-28 20:43:18,2006-04-27
13,Szulik Matthew,"COB, CEO, Pres",S - Sale,RHAT,$29.37,"-10,000","-$293,700","704,349",-1%,2006-04-28 20:39:40,2006-04-28
14,Capital Alliance Group Inc.,10%,P - Purchase,SNMD,$0.00,+0,+$0,"7,160,563",0%,2006-04-28 20:33:36,2006-04-28
