,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Mahon Paul A,"EVP, GC",S - Sale+OE,UTHR,$50.89,"-2,000","-$101,772","15,000",-12%,2006-05-19 21:55:36,2006-05-18
1,Grainer James L,Pres,S - Sale,INSQ,$0.00,"-2,000,000","-$8,300","89,400,600",-2%,2006-05-19 21:53:06,2006-05-03
2,Hadeed Fred T,"EVP, CFO",S - Sale+OE,UTHR,$50.87,"-3,819","-$194,275","1,000",-79%,2006-05-19 21:48:23,2006-05-18
3,Jeffs Roger,"Pres, CO)",S - Sale+OE,UTHR,$50.88,"-3,500","-$178,090","12,933",-21%,2006-05-19 21:40:43,2006-05-18
4,Rothblatt Martine A,CEO,S - Sale,UTHR,$50.88,"-2,000","-$101,750","218,368",-1%,2006-05-19 21:29:38,2006-05-18
5,Leung Wing Yu,"EVP, CTO",S - Sale,MOSY,$8.24,"-25,000","-$206,100","590,680",-4%,2006-05-19 20:50:48,2006-05-18
6,Seippel William,CFO,P - Purchase,MIVA,$4.00,"+6,200","+$24,800","6,200",New,2006-05-19 20:39:11,2006-05-17
7,Corrao Peter A,CEO,P - Purchase,MIVA,$3.92,"+25,000","+$97,999","25,000",New,2006-05-19 20:37:26,2006-05-15
8,Koskovolis Louis,"EVP, Corporate Alliances",P - Purchase,PKS,$8.80,"+1,000","+$8,800","1,000",New,2006-05-19 19:58:39,2006-05-17
9,Forrest William D,Exec COB,S - Sale,COSI,$8.61,"-25,000","-$215,186","821,407",-3%,2006-05-19 19:52:01,2006-05-17
10,Hammack William,"SVP, HR",S - Sale,KOMG,$44.09,"-1,286","-$56,702","16,000",-7%,2006-05-19 19:50:12,2006-05-19
11,Rouse Michael,"COB, CEO, 10%",S - Sale,TTEG,$1.68,"-1,000","-$1,680","4,718,927",0%,2006-05-19 19:45:52,2006-05-12
12,"Alpha Engines, Corp.",10%,S - Sale,TTEG,$1.10,"-4,300","-$4,730","5,079,460",0%,2006-05-19 19:45:41,2006-05-17
13,Greer Robert G,Vice COB - Bank of Texas,S - Sale,BOKF,$48.82,"-1,000","-$48,817","1,144",-47%,2006-05-19 19:39:01,2006-05-17
14,Tarrant Veronica,"VP, Fin.,Chief Acctg. Officer",S - Sale,PWER,$6.28,"-6,425","-$40,373","32,852",-16%,2006-05-19 19:24:25,2006-05-18
15,Wells Ben K,"CFO, Treasurer",P - Purchase,BKC,$17.00,"+10,000","+$170,000","10,000",New,2006-05-19 19:24:24,2006-05-17
16,Ross Paul,"VP, Finance, CFO",S - Sale,PWER,$6.23,"-6,425","-$40,051","30,000",-18%,2006-05-19 19:23:36,2006-05-18
17,Booth Stuart W,"VP, CFO, Secretary",S - Sale+OE,CENT,$44.31,-993,"-$43,996","10,000",-9%,2006-05-19 19:23:19,2006-05-19
18,Wagner Amy E,"SVP, Investor Relations",P - Purchase,BKC,$17.00,"+6,000","+$102,000","6,000",New,2006-05-19 19:21:49,2006-05-17
19,Scangos George A,"Pres, CEO",S - Sale,EXEL,$9.76,"-2,500","-$24,392","1,465,267",0%,2006-05-19 19:21:35,2006-05-18
20,Howells Mark S,Dir,S - Sale,SNAK,$2.95,"-30,000","-$88,500","755,869",-4%,2006-05-19 19:20:30,2006-05-18
21,Neustaetter Thomas M,Dir,S - Sale,SLTC,$2.53,"-5,000","-$12,668","862,209",-1%,2006-05-19 19:17:03,2006-05-17
22,Swette Brian,Non-Exec Chair of the Board,P - Purchase,BKC,$17.00,"+15,000","+$255,000","100,625",+18%,2006-05-19 19:16:04,2006-05-17
23,Young Byron,Dir,P - Purchase,CDNC,$0.02,"+191,260","+$3,426","5,520,470",+4%,2006-05-19 19:15:45,2006-05-19
24,Young Byron,Dir,S - Sale,CDNC,$0.02,"-131,500","-$2,602","5,520,470",-2%,2006-05-19 19:15:45,2006-05-18
25,Bennett Orin Neil,Dir,P - Purchase,BOCH,$10.40,"+25,000","+$260,000","27,000",>999%,2006-05-19 19:10:55,2006-05-19
26,Fiebig Jeffrey William,Dir,P - Purchase,CDNC,$0.02,"+293,040","+$5,248","5,549,951",+6%,2006-05-19 19:10:28,2006-05-19
27,Fiebig Jeffrey William,Dir,S - Sale+OE,CDNC,$0.02,"-133,500","-$2,653","5,549,951",-2%,2006-05-19 19:10:28,2006-05-18
28,Ramirez Julio A,"Pres, Latin America",P - Purchase,BKC,$17.00,"+5,000","+$85,000","43,545",+13%,2006-05-19 19:09:59,2006-05-17
29,Post Denny Marie,Chief Concept Officer,P - Purchase,BKC,$17.00,+100,"+$1,700","26,157",0%,2006-05-19 19:08:14,2006-05-17
30,Klein Russell,CMO,P - Purchase,BKC,$17.00,"+12,000","+$204,000","252,989",+5%,2006-05-19 19:05:13,2006-05-17
31,Garcia Manuel A,Dir,P - Purchase,BKC,$17.00,"+10,000","+$170,000","95,625",+12%,2006-05-19 19:02:14,2006-05-17
32,Bass Ronald Scott,Principal Accounting Officer,P - Purchase,CDNC,$0.02,"+232,330","+$4,161","1,198,600",+24%,2006-05-19 19:01:27,2006-05-19
33,Bass Ronald Scott,Principal Accounting Officer,S - Sale+OE,CDNC,$0.02,"-79,500","-$1,558","1,198,600",-6%,2006-05-19 19:01:27,2006-05-16
34,Reyes George,CFO,S - Sale,GOOG,$345.14,"-1,506","-$519,787","16,066",-9%,2006-05-19 19:01:20,2006-05-17
35,Gagnon David,"SVP, Company Operations",P - Purchase,BKC,$17.00,"+2,000","+$34,000","15,226",+15%,2006-05-19 19:00:55,2006-05-17
36,Reyes George,CFO,S - Sale,GOOG,$345.16,-742,"-$256,110","162,646",0%,2006-05-19 19:00:36,2006-05-17
37,Rosenberg Jonathan J,VP Prod. Mgmt.,S - Sale,GOOG,$345.19,-888,"-$306,532","166,187",-1%,2006-05-19 19:00:13,2006-05-17
38,Page Lawrence,"Pres, Products, Asst. Secty, 10%",S - Sale,GOOG,$372.58,"-3,500","-$1,304,026","58,829",-6%,2006-05-19 18:59:49,2006-05-17
39,Fanning Matthew A,EVP,S - Sale+OE,SVVS,$1.90,"-45,138","-$85,762",0,-100%,2006-05-19 18:59:47,2006-05-19
40,Jana Partners LLC,10%,P - Purchase,TWI,$19.01,"+31,100","+$591,223","4,116,100",+1%,2006-05-19 18:59:47,2006-05-18
