,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Chen Fusen Ernie,"CTO, CTO",S - Sale,NLVS,$24.64,"-3,213","-$79,174","51,587",-6%,2006-04-24 21:44:58,2006-04-21
1,Cronin Kevin,CFO,S - Sale+OE,USGA,$0.04,"-425,170","-$17,969","1,000,000",-30%,2006-04-24 21:40:31,2006-04-05
2,Reyes George,CFO,S - Sale,GOOG,$411.45,"-1,508","-$620,460","19,078",-7%,2006-04-24 21:38:37,2006-04-20
3,Reyes George,CFO,S - Sale,GOOG,$411.38,-742,"-$305,245","186,956",0%,2006-04-24 21:37:45,2006-04-20
4,Hennessy John L,Dir,S - Sale+OE,GOOG,$411.50,-160,"-$65,839","6,645",-2%,2006-04-24 21:37:10,2006-04-20
5,Rosenberg Jonathan J,VP Prod. Mgmt.,S - Sale,GOOG,$411.42,-890,"-$366,165","197,539",0%,2006-04-24 21:36:30,2006-04-20
6,Capital Alliance Group Inc.,10%,S - Sale,SNMD,$5.63,"-1,750","-$9,853","7,182,813",0%,2006-04-24 21:18:46,2006-04-20
7,Capital Alliance Group Inc.,10%,S - Sale,SNMD,$5.70,"-1,000","-$5,700","7,184,563",0%,2006-04-24 21:14:29,2006-04-20
8,Capital Alliance Group Inc.,10%,S - Sale,SNMD,$5.90,"-1,000","-$5,900","7,186,563",0%,2006-04-24 20:45:56,2006-04-20
9,Torres Rafael,CFO,S - Sale+OE,PLXT,$14.21,"-9,000","-$127,908",0,-100%,2006-04-24 20:36:53,2006-04-21
10,Salameh Michael J,"Pres, CEO",S - Sale+OE,PLXT,$14.13,"-27,000","-$381,462","494,133",-5%,2006-04-24 20:34:25,2006-04-21
11,Berardi Hector,VP Operations,S - Sale+OE,PLXT,$14.24,"-15,000","-$213,629",0,-100%,2006-04-24 20:32:29,2006-04-21
12,Simonton Pamela A,"SVP, Patents, Licensing",S - Sale+OE,EXEL,$10.99,"-10,000","-$109,892","2,372",-81%,2006-04-24 20:18:12,2006-04-24
13,Bernhard James M Jr,"COB, CEO",S - Sale,SGR,$33.13,"-73,510","-$2,435,661","1,232,840",-6%,2006-04-24 20:16:13,2006-04-24
14,Bany Sarah,Dir,S - Sale,COLM,$56.32,"-10,900","-$613,937","1,372,937",-1%,2006-04-24 19:45:47,2006-04-20
15,Harris Parker,"EVP, Technology",S - Sale,CRM,$32.62,"-3,000","-$97,851","1,585,079",0%,2006-04-24 19:43:40,2006-04-24
16,Cakebread Steven,CFO,S - Sale+OE,CRM,$32.69,"-2,500","-$81,720","177,354",-1%,2006-04-24 19:42:46,2006-04-24
17,Benioff Marc,"COB, CEO, 10%",S - Sale,CRM,$32.95,"-3,300","-$108,747","22,631,006",0%,2006-04-24 19:42:05,2006-04-24
