,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,El-Hibri Fuad,Dir,P - Purchase,APVO,$0.76,"+100,000","+$75,520","4,058,738",+3%,2019-08-13 21:46:26,2019-08-12
1,Harvey Hugh E Jr,Dir,P - Purchase,IPI,$3.23,"+20,000","+$64,500","12,003,355",0%,2019-08-13 21:45:39,2019-08-12
2,Brunecz Sharon,CHRO,S - Sale,AMED,$136.28,"-1,050","-$143,094","11,570",-8%,2019-08-13 21:00:45,2019-08-09
3,Steel Partners Holdings L.P.,10%,S - Sale,BW,$3.71,"-15,173","-$56,267","5,664,019",0%,2019-08-13 20:02:23,2019-08-09
4,Ottolenghi Les,"EVP, CIO",S - Sale,CZR,$11.49,"-17,375","-$199,639","262,451",-6%,2019-08-13 20:01:32,2019-08-12
5,Marooney Caryn,Dir,S - Sale,ZEN,$75.60,"-2,794","-$211,226","61,938",-4%,2019-08-13 20:01:29,2019-08-12
6,Taylor Michael Douglas,Dir,S - Sale+OE,DCPH,$40.77,"-22,500","-$917,342",0,-100%,2019-08-13 19:57:29,2019-08-13
7,Kelly Thomas Patrick,CFO,S - Sale+OE,DCPH,$41.27,"-11,250","-$464,255",0,-100%,2019-08-13 19:55:28,2019-08-13
8,Flynn Daniel Lee,Chief Scientific Officer,S - Sale+OE,DCPH,$40.92,"-148,107","-$6,060,755","146,549",-50%,2019-08-13 19:52:41,2019-08-13
9,Bristol James Arthur,Dir,S - Sale+OE,DCPH,$39.97,"-25,000","-$999,365",0,-100%,2019-08-13 19:51:17,2019-08-13
10,Mildenhall Joseph N,CIO,S - Sale,LOPE,$126.20,"-2,000","-$252,400","58,809",-3%,2019-08-13 19:45:52,2019-08-13
11,Kodosky Jeffrey L,Dir,S - Sale,NATI,$43.50,"-2,000","-$87,000","1,539,383",0%,2019-08-13 19:40:04,2019-08-12
12,Dunlevie Bruce,10%,S - Sale,UPWK,$14.82,"-48,708","-$721,658","9,852,570",0%,2019-08-13 19:34:38,2019-08-12
13,Pettinella Edward J,Dir,P - Purchase,MN,$1.80,"+1,574","+$2,833","265,482",+1%,2019-08-13 19:17:19,2019-08-09
14,Glyphis George S.,"VP, CFO",P - Purchase,CDEV,$4.69,"+50,000","+$234,705","493,195",+11%,2019-08-13 19:15:42,2019-08-09
