,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Wright Christopher A,"COB, CEO",S - Sale,LBRT,$12.12,"-10,000","-$121,200","3,804,752",0%,2021-04-29 21:46:03,2021-04-28
1,Murai Kevin M,Dir,S - Sale+OE,SNX,$125.25,"-4,275","-$535,441","101,153",-4%,2021-04-29 21:46:02,2021-04-27
2,Coelho Philip H,Dir,S - Sale+OE,AMPE,$2.00,"-20,000","-$40,000","203,500",-9%,2021-04-29 21:38:34,2021-04-27
3,Coelho Philip H,Dir,S - Sale+OE,AMPE,$2.00,"-3,263","-$6,526","203,500",-2%,2021-04-29 21:37:39,2021-04-29
4,Cherevka Holli,COO,S - Sale+OE,AMPE,$2.00,"-74,631","-$149,262",0,-100%,2021-04-29 21:36:24,2021-04-27
5,"Searchlight Capital Partners II Gp, LLC",10%,S - Sale+OE,FOUR,$98.41,"-275,972","-$27,158,535","7,632,227",-3%,2021-04-29 21:23:25,2021-04-27
6,Treace John T.,"CEO, 10%",S - Sale+OE,TMCI,$17.00,"-5,253,805","-$89,314,685","10,832,893",-33%,2021-04-29 21:20:23,2021-04-27
7,Hair Mark,CFO,P - Purchase,TMCI,$17.00,"+13,600","+$231,200","13,600",New,2021-04-29 21:14:49,2021-04-27
8,Treace John R,Dir,S - Sale+OE,TMCI,$17.00,"-401,250","-$6,821,250","3,410,043",-11%,2021-04-29 21:13:56,2021-04-27
9,"Vivo Capital Viii, LLC",10%,P - Purchase,IMPL,$15.00,"+575,000","+$8,625,000","349,674",-255%,2021-04-29 21:10:51,2021-04-27
10,Frias Jaime A.,See Remarks,S - Sale+OE,TMCI,$17.00,"-329,230","-$5,596,910","268,337",-55%,2021-04-29 21:09:28,2021-04-27
11,Owens Daniel E.,CHRO,P - Purchase,TMCI,$17.00,"+4,000","+$68,000","4,000",New,2021-04-29 21:04:22,2021-04-27
12,Maetzel Andreas,"SVP, Medical",S - Sale+OE,KALV,$25.28,"-88,030","-$2,225,736",0,-100%,2021-04-29 20:55:53,2021-04-27
13,Pappas John,Vice COB,S - Sale,CHEF,$33.26,"-300,000","-$9,979,061","758,128",-28%,2021-04-29 20:52:54,2021-04-27
14,"5Am Ventures V, L.P.",10%,P - Purchase,IMPL,$15.00,"+575,000","+$8,625,000","575,000",New,2021-04-29 20:51:56,2021-04-27
15,Dageville Benoit,Pres of Products,S - Sale,SNOW,$236.80,"-61,364","-$14,530,771","6,474,324",-1%,2021-04-29 20:35:31,2021-04-27
16,Rubenstein Andrew H.,"CEO, Pres",S - Sale,ACEL,$13.11,"-50,000","-$655,280","4,151,283",-1%,2021-04-29 20:34:17,2021-04-27
17,Zakrowski Donald A,Chief Accounting Officer,S - Sale,LLY,$181.38,"-3,000","-$544,140","7,648",-28%,2021-04-29 20:31:19,2021-04-28
18,Frankel Michael S.,"Co-CEO, Co-Pres",S - Sale,REXR,$55.08,"-13,975","-$769,774",0,-100%,2021-04-29 20:27:18,2021-04-29
19,"Jch Crenshaw Holdings, LLC","Dir, 10%",P - Purchase,SLNG,$7.70,"+1,528","+$11,765","13,016,637",0%,2021-04-29 20:21:12,2021-04-27
20,Baglino Andrew D,"SVP Powertrain, Energy Eng.",S - Sale+OE,TSLA,$717.17,"-1,500","-$1,075,755","18,614",-7%,2021-04-29 20:20:24,2021-04-27
21,Lawee David,Dir,S - Sale,LYFT,$65.20,"-115,537","-$7,533,163","6,150,098",-2%,2021-04-29 20:11:47,2021-04-27
22,Corstar Holdings Inc,10%,S - Sale,CRVL,$115.91,"-5,353","-$620,468","6,494,036",0%,2021-04-29 20:09:35,2021-04-27
23,Barker James Andrew,Dir,P - Purchase,BANC,$18.42,"+27,200","+$500,942","75,569",+56%,2021-04-29 20:02:26,2021-04-29
24,Khaykin Oleg,"Pres, CEO",S - Sale,VIAV,$16.84,"-30,000","-$505,330","580,583",-5%,2021-04-29 19:50:35,2021-04-27
25,"Norwest Venture Partners Xiv, LP",10%,P - Purchase,IMPL,$15.00,"+825,000","+$12,375,000","3,077,198",+37%,2021-04-29 19:45:05,2021-04-27
26,Blyumkin Aleksandr,"Exe. COB, Interim CEO",P - Purchase,PQE,$0.06,"+1,166,666","+$70,000","25,931,940",+5%,2021-04-29 19:40:24,2021-04-28
27,Clemons V Gordon,COB,S - Sale,CRVL,$116.12,"-3,000","-$348,353","1,519,650",0%,2021-04-29 19:26:04,2021-04-27
28,Maio Keith D,EVP - Chief Risk Officer,S - Sale,ZION,$55.20,"-5,000","-$276,009","37,564",-12%,2021-04-29 19:15:55,2021-04-28
29,Pruitt Michael D,CEO,P - Purchase,AMHG,$0.55,"+3,200","+$1,760","30,029",+12%,2021-04-29 19:14:21,2021-04-29
30,Bickley Ian,Dir,S - Sale,CROX,$100.01,"-10,000","-$1,000,100","51,916",-16%,2021-04-29 19:12:31,2021-04-29
31,Frasch Ronald,Dir,S - Sale,CROX,$101.45,"-19,678","-$1,996,256","100,159",-16%,2021-04-29 19:11:04,2021-04-29
32,Rees Andrew,CEO,S - Sale,CROX,$97.04,"-80,000","-$7,763,151","1,088,904",-7%,2021-04-29 19:09:05,2021-04-27
33,McCabe Matthew E.,"VP of Finance, Treasurer",P - Purchase,AGTI,$14.00,+750,"+$10,500","33,622",+2%,2021-04-29 18:57:02,2021-04-27
34,Turner David J Jr,CFO,S - Sale,RF,$21.11,"-88,000","-$1,858,094","221,312",-28%,2021-04-29 18:56:47,2021-04-27
35,Peters Scott M.,SEVP,S - Sale,RF,$21.00,"-12,000","-$252,000","100,960",-11%,2021-04-29 18:56:46,2021-04-27
36,Ritter William D.,SEVP,S - Sale,RF,$20.99,"-40,000","-$839,665","25,914",-61%,2021-04-29 18:56:39,2021-04-27
37,Keenan David R.,SEVP,S - Sale,RF,$21.12,"-13,435","-$283,747","21,685",-38%,2021-04-29 18:56:33,2021-04-27
38,Hoffman Steve,"Chief Science Officer, 10%",S - Sale,TYME,$1.57,"-83,500","-$130,678","24,322,748",0%,2021-04-29 18:50:44,2021-04-27
39,Stinson Linda,10%,S - Sale,ELVT,$3.19,"-57,673","-$184,099","3,927,848",-1%,2021-04-29 18:48:55,2021-04-27
40,Workman John L,Dir,P - Purchase,AGTI,$14.00,"+7,500","+$105,000","41,786",+22%,2021-04-29 18:48:53,2021-04-27
41,Christensen Scott A,"VP, Controller, CAO",P - Purchase,AGTI,$14.00,+500,"+$7,000","33,372",+2%,2021-04-29 18:47:43,2021-04-27
42,Head Tyler W. K.,Dir,S - Sale,ELVT,$3.19,"-57,673","-$184,099","1,313,911",-4%,2021-04-29 18:47:24,2021-04-27
43,Shaw David E,10%,S - Sale,SDGR,$76.58,"-101,525","-$7,774,994","7,767,144",-1%,2021-04-29 18:45:22,2021-04-27
44,Martinetto Joseph R,"Senior EVP, COO",S - Sale+OE,SCHW,$71.70,"-255,321","-$18,305,443","225,729",-53%,2021-04-29 18:44:52,2021-04-29
45,Patrick Diane B.,Dir,P - Purchase,AGTI,$14.00,"+5,500","+$77,000","39,786",+16%,2021-04-29 18:44:30,2021-04-27
46,Venbio Global Strategic Fund II L.P.,10%,P - Purchase,IMPL,$15.00,"+450,000","+$6,750,000","2,759,791",+19%,2021-04-29 18:44:07,2021-04-27
47,Giadrossi Nicoletta,Dir,S - Sale,INFO,$106.25,"-3,377","-$358,806","5,612",-38%,2021-04-29 18:43:06,2021-04-28
48,Karam Sammy,SVP,S - Sale+OE,ABT,$122.00,"-8,600","-$1,049,200","22,926",-27%,2021-04-29 18:42:55,2021-04-27
