,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Renton Hollings,Dir,S - Sale+OE,CPHD,$43.19,"-15,000","-$647,813","6,550",-70%,2012-02-06 21:56:17,2012-02-03
1,Morton Dean O,Dir,S - Sale+OE,CPHD,$43.25,"-7,500","-$324,398","181,550",-4%,2012-02-06 21:55:37,2012-02-03
2,Reyes Humberto,"EVP, COO",S - Sale+OE,CPHD,$43.20,"-133,957","-$5,787,478","12,841",-91%,2012-02-06 21:54:51,2012-02-03
3,Gutshall Thomas L,Dir,S - Sale+OE,CPHD,$43.09,"-15,000","-$646,350","849,375",-2%,2012-02-06 21:54:08,2012-02-03
4,Brown Thomas D,Dir,S - Sale+OE,CPHD,$43.20,"-15,000","-$648,030","17,351",-46%,2012-02-06 21:53:26,2012-02-03
5,Bishop John L,CEO,S - Sale+OE,CPHD,$43.51,"-6,887","-$299,646","20,432",-25%,2012-02-06 21:52:44,2012-02-03
6,Miller Andrew,"EVP, CFO",S - Sale+OE,CPHD,$31.02,"-2,500","-$77,547","3,165",-44%,2012-02-06 21:52:11,2011-05-16
7,Miller Andrew,"EVP, CFO",S - Sale+OE,CPHD,$43.15,"-62,062","-$2,678,107","5,223",-92%,2012-02-06 21:51:15,2012-02-02
8,Arnold Nicolaas,"EVP, Worldwide Comm'l Ops",S - Sale+OE,CPHD,$43.11,"-40,000","-$1,724,376","2,503",-94%,2012-02-06 21:50:24,2012-02-02
9,Wl Ross & Co LLC,10%,P - Purchase,XCO,$6.95,"+865,000","+$6,011,964","1,624,271",+114%,2012-02-06 21:39:39,2012-02-03
10,Wl Ross & Co LLC,10%,P - Purchase,XCO,$6.95,"+865,000","+$6,011,964","1,624,271",+114%,2012-02-06 21:38:46,2012-02-03
11,"Harbinger Capital Partners Master Fund I, Ltd.","*See Remarks, 10%",P - Purchase,SPB,$29.85,"+68,800","+$2,053,933","28,387,897",0%,2012-02-06 21:14:07,2012-02-02
12,Harbinger Group Inc.,"*See Remarks, 10%",P - Purchase,SPB,$29.85,"+68,800","+$2,053,933","28,207,708",0%,2012-02-06 21:13:19,2012-02-02
13,Miller William G,COB,S - Sale,MLR,$17.02,"-5,000","-$85,090","380,738",-1%,2012-02-06 20:51:01,2012-02-02
14,Jacobs M Christine,Dir,S - Sale+OE,MCK,$82.42,"-7,493","-$617,573","1,000",-88%,2012-02-06 20:48:53,2012-02-03
15,Orwin John A,CEO,S - Sale,AFFY,$10.00,"-18,000","-$180,000","155,000",-10%,2012-02-06 20:41:58,2012-02-02
16,Beery Robin C,"EVP, Head of U.S. Distribution",S - Sale+OE,JNS,$8.17,"-10,580","-$86,439","246,564",-4%,2012-02-06 20:38:42,2012-02-02
17,Turner Daniel K III,Dir,P - Purchase,OREX,$1.45,"+57,204","+$82,946","377,958",+18%,2012-02-06 20:25:05,2011-12-22
18,Batejan George S,"EVP, Head of IT, Operations",S - Sale,JNS,$8.17,-425,"-$3,472","27,726",-2%,2012-02-06 20:19:23,2012-02-02
19,Hallee Garry W.,"EVP, Technology, Svc Delivery",S - Sale,FNGN,$24.55,"-10,000","-$245,516","125,624",-7%,2012-02-06 20:17:48,2012-02-06
20,Debrowski Thomas,EVP Worldwide Operations,S - Sale+OE,MAT,$31.56,"-100,000","-$3,155,920","59,639",-63%,2012-02-06 20:12:46,2012-02-03
21,Brothers Ellen L,EVP,S - Sale+OE,MAT,$31.52,"-25,000","-$787,948","42,780",-37%,2012-02-06 20:11:21,2012-02-03
22,Hislop Colin,Chief Medical Officer,S - Sale,ANTH,$8.20,"-30,000","-$246,000","54,702",-35%,2012-02-06 20:04:06,2012-02-03
23,Cittadini Peter I,"Pres, CEO",S - Sale+OE,ACTU,$6.12,"-635,214","-$3,888,081","1,531,467",-29%,2012-02-06 20:00:12,2012-02-03
24,Eckert R Andrew,Dir,S - Sale+OE,VAR,$67.82,"-6,790","-$460,494","6,146",-52%,2012-02-06 19:56:17,2012-02-03
25,Walsh Peter,"SVP, GC, Chief Admin Officer",S - Sale+OE,ASCA,$20.65,"-15,000","-$309,750","135,060",-10%,2012-02-06 19:42:41,2012-02-03
26,Rollo Heather A,SVP of Accounting,S - Sale,ASCA,$20.55,"-4,204","-$86,390","36,898",-10%,2012-02-06 19:36:05,2012-02-03
27,Maheswaran Mohan,"Pres, CEO",S - Sale,SMTC,$30.07,"-1,500","-$45,105","44,811",-3%,2012-02-06 19:32:43,2012-02-06
28,Joyce Michael H,Dir,S - Sale+OE,WWD,$44.37,"-7,000","-$310,593","10,052",-41%,2012-02-06 19:31:44,2012-02-02
29,Pagano Robert J Jr,"SVP, Pres, Indust. Process",S - Sale+OE,ITT,$22.42,"-53,584","-$1,201,268","67,727",-44%,2012-02-06 19:31:16,2012-02-03
30,Moody F Scott,Dir,S - Sale+OE,AUTH,$3.50,"-7,230","-$25,334","178,455",-4%,2012-02-06 19:25:29,2012-02-01
31,Tremallo Mark V B,"VP, GC, Secretary",S - Sale+OE,SWKS,$23.49,"-17,500","-$411,000","76,127",-19%,2012-02-06 19:20:05,2012-02-03
32,Attara Capital LP,10%,S - Sale,LGDI,$0.12,"-270,600","-$32,101","25,471,131",-1%,2012-02-06 19:19:21,2012-02-02
33,Aldrete Lori J,Dir,P - Purchase,FNRN,$5.05,"+1,684","+$8,504",396,-131%,2012-02-06 19:18:00,2012-02-06
34,Palette Donald W,"V. P., CFO",S - Sale,SWKS,$23.56,"-1,300","-$30,628","128,496",-1%,2012-02-06 19:17:16,2012-02-03
35,Levan George,"VP, HR",S - Sale,SWKS,$22.79,"-12,644","-$288,157","85,363",-13%,2012-02-06 19:14:58,2012-02-02
36,Malis Jerry L,"EVP, Chief Scientific Officer",S - Sale,SURG,$7.00,-440,"-$3,080","490,305",0%,2012-02-06 19:11:57,2012-02-03
37,Knott David M,10%,P - Purchase,ESSX,$3.51,"+92,300","+$323,973","2,598,766",+4%,2012-02-06 19:10:33,2012-02-03
38,Knott David M,10%,S - Sale,ESSX,$3.51,"-92,300","-$323,973","2,598,766",-3%,2012-02-06 19:10:33,2012-02-03
39,Nord Thomas C,"SVP, Gen. Counsel, Secretary",P - Purchase,WLFC,$8.19,+500,"+$4,097","69,484",+1%,2012-02-06 19:08:44,2012-01-31
40,Dutton David Loel,CEO,S - Sale,MTSN,$2.79,"-4,208","-$11,740","44,915",-9%,2012-02-06 19:07:52,2012-02-04
41,Schulze David W,Dir,P - Purchase,FNRN,$5.05,"+12,180","+$61,509","282,840",+5%,2012-02-06 19:05:25,2012-02-06
42,Greenberg Jonathan A,"SVP, GC, Secretary",S - Sale+OE,FSL,$17.45,"-11,492","-$200,535","42,069",-21%,2012-02-06 19:00:33,2012-02-03
43,Martinez Richard M,Dir,P - Purchase,FNRN,$5.05,"+5,000","+$25,250","19,281",+35%,2012-02-06 18:59:46,2012-02-06
44,Gregg Terrance H,CEO,S - Sale,DXCM,$11.71,"-5,000","-$58,545","853,537",-1%,2012-02-06 18:58:59,2012-02-03
45,Landa Matthew,Pres,S - Sale+OE,ACTV,$15.00,"-24,617","-$369,255","250,000",-9%,2012-02-06 18:57:46,2012-02-03
46,Alberga David,CEO,S - Sale+OE,ACTV,$15.04,"-116,478","-$1,752,085","184,599",-39%,2012-02-06 18:56:55,2012-02-03
47,Ahuja Deepak,CFO,S - Sale+OE,TSLA,$30.00,"-10,000","-$300,000",899,-92%,2012-02-06 18:55:09,2012-02-02
48,Hilbert Paula J,EVP,S - Sale+OE,SNCR,$34.26,"-5,000","-$171,300","20,000",-20%,2012-02-06 18:55:01,2012-02-02
49,Bromley C Corwin,"SVP, GC",S - Sale,MWE,$58.43,"-10,000","-$584,308","103,772",-9%,2012-02-06 18:54:42,2012-02-06
50,Nunemaker Donald A,Pres,P - Purchase,WLFC,$8.19,+500,"+$4,097","115,451",0%,2012-02-06 18:54:28,2012-01-31
51,Cortez Miles,EVP,S - Sale,AIV,$24.97,"-3,185","-$79,543","125,414",-2%,2012-02-06 18:54:19,2012-02-03
52,Dupratt Greg,Dir,P - Purchase,FNRN,$5.05,+500,"+$2,525","11,740",+4%,2012-02-06 18:52:53,2012-02-06
53,Cohn Lisa R,EVP,S - Sale,AIV,$24.97,"-3,196","-$79,820","113,511",-3%,2012-02-06 18:51:43,2012-02-03
54,Mollusk Holdings LLC,10%,S - Sale,LF,$6.22,"-30,000","-$186,600","3,030,000",-1%,2012-02-06 18:42:16,2012-02-06
55,Chou Cheng-Hsien Phidias,VP Worldwide Sales,S - Sale+OE,SMCI,$17.22,"-5,000","-$86,090",0,-100%,2012-02-06 18:41:42,2012-02-02
56,Caine Brett,"SVP, Online Services Division",S - Sale+OE,CTXS,$66.96,"-18,120","-$1,213,360","82,753",-18%,2012-02-06 18:38:43,2012-02-02
57,Straubel Jeffrey B,CTO,S - Sale,TSLA,$30.03,"-5,000","-$150,145","123,134",-4%,2012-02-06 18:37:38,2012-02-02
