,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Sharp Evan,"Co-Founder, Chief Design, Cr",S - Sale+OE,PINS,$34.72,"-433,108","-$15,036,495",0,-100%,2020-08-14 21:44:41,2020-08-12
1,Abendschein Robert D.,Dir,P - Purchase,SMHI,$3.28,"+75,003","+$246,367","89,506",+517%,2020-08-14 21:43:13,2020-08-13
2,Widmer Kathy,Dir,S - Sale+OE,TXRH,$61.11,"-6,930","-$423,472","9,920",-41%,2020-08-14 21:01:05,2020-08-12
3,Anevski Peter,"Pres, Chief Fin, Op. Officer",S - Sale,PGNY,$29.91,"-49,910","-$1,492,974","1,528,146",-3%,2020-08-14 20:53:46,2020-08-12
4,Payson Norman,Dir,S - Sale,PGNY,$29.64,"-33,000","-$978,272","1,341,439",-2%,2020-08-14 20:52:21,2020-08-12
5,Fredrickson Steven D,Chairman,S - Sale,PRAA,$45.97,"-3,375","-$155,149","228,755",-1%,2020-08-14 20:50:43,2020-08-12
6,Theuer Charles,"Pres, CEO",P - Purchase,TCON,$1.73,"+20,000","+$34,500","91,714",+28%,2020-08-14 20:17:45,2020-08-12
7,Tay Julie,"SVP, Mng Dir. Asia Pacific",S - Sale,ALGN,$310.00,"-1,550","-$480,500","23,692",-6%,2020-08-14 20:10:01,2020-08-13
8,Waller Gregory D,Dir,S - Sale,ELGX,$0.08,"-28,630","-$2,402",710,-98%,2020-08-14 20:04:11,2020-08-12
9,Carlen Douglas Alan,General Counsel,S - Sale,VCRA,$29.11,"-3,347","-$97,418","93,517",-3%,2020-08-14 20:01:15,2020-08-14
10,Icahn Carl C,10%,S - Sale,HLF,$48.75,"-14,722,025","-$717,698,719","20,505,879",-42%,2020-08-14 19:58:33,2020-08-12
11,Onopchenko John,"CEO, Dir",S - Sale,ELGX,$0.60,"-88,978","-$53,355","165,698",-35%,2020-08-14 19:57:00,2020-08-12
12,Lang Brent D.,"COB, Pres, CEO",S - Sale+OE,VCRA,$29.86,"-14,336","-$428,077","524,738",-3%,2020-08-14 19:56:06,2020-08-12
13,Papiernik Antoine,"Dir, 10%",S - Sale,SWAV,$55.01,"-14,377","-$790,892","2,557,966",-1%,2020-08-14 19:50:12,2020-08-12
14,Sofinnova Capital VII Fcpr,10%,S - Sale,SWAV,$55.01,"-14,377","-$790,892","2,555,265",-1%,2020-08-14 19:48:34,2020-08-12
15,Heang Vichheka,Principal Accounting Officer,S - Sale,SPWR,$12.29,"-10,000","-$122,936","15,981",-38%,2020-08-14 19:44:56,2020-08-12
16,Foster Brian,"SVP, Product Management",S - Sale,MOBL,$5.86,"-7,500","-$43,977","366,840",-2%,2020-08-14 19:38:40,2020-08-14
17,McMahon Thomas H.,See Remarks,S - Sale+OE,GO,$43.08,"-100,000","-$4,308,436","99,873",-50%,2020-08-14 19:30:53,2020-08-12
18,Burke Pamela B.,"CAO, GC, Secretary",S - Sale+OE,GO,$43.21,"-11,314","-$488,878","9,050",-56%,2020-08-14 19:26:34,2020-08-12
19,Zapico David A,CEO,S - Sale+OE,AME,$100.87,"-44,740","-$4,513,045","267,076",-14%,2020-08-14 19:26:24,2020-08-14
20,Sheedy Robert Joseph Jr.,Pres,S - Sale+OE,GO,$42.71,"-18,750","-$800,744","25,809",-42%,2020-08-14 19:26:20,2020-08-13
21,Chandy Ruby R,Dir,S - Sale+OE,AME,$100.95,"-2,678","-$270,344","16,736",-14%,2020-08-14 19:13:02,2020-08-13
22,Riley Peter F,"Secretary, GC",S - Sale,HHC,$58.50,"-14,638","-$856,323","42,037",-26%,2020-08-14 19:09:13,2020-08-12
23,Hoffman Steve,"CEO, 10%",S - Sale,TYME,$1.20,"-103,701","-$124,024","26,242,248",0%,2020-08-14 19:03:55,2020-08-13
24,Sagansky Jeffrey,Dir,S - Sale,WSC,$17.89,"-253,014","-$4,525,541","1,981,843",-11%,2020-08-14 19:03:49,2020-08-12
25,Fir Tree Capital Management LP,10%,S - Sale,UPL,$0.01,"-10,702,359","-$131,008","15,896,252",-40%,2020-08-14 18:59:12,2020-08-12
26,Christopherson David Victor,"EVP, GC",S - Sale+OE,FND,$67.30,"-14,800","-$996,040","46,357",-24%,2020-08-14 18:58:54,2020-08-13
27,Robbins Brian K,"EVP - BUS. DVLPMT, STRATEGY",S - Sale+OE,FND,$67.30,"-25,144","-$1,692,191","32,838",-43%,2020-08-14 18:57:55,2020-08-13
28,Taylor Thomas V,CEO,S - Sale+OE,FND,$67.30,"-100,000","-$6,730,000","190,470",-34%,2020-08-14 18:57:13,2020-08-13
29,Laube Lisa,Pres,S - Sale+OE,FND,$67.30,"-40,000","-$2,692,000","124,297",-24%,2020-08-14 18:55:16,2020-08-13
30,Chouinard Brett R,See Remarks,S - Sale,ALTR,$40.47,"-3,000","-$121,401","46,069",-6%,2020-08-14 18:54:59,2020-08-13
31,West George Vincent,Dir,S - Sale,FND,$67.30,"-75,000","-$5,047,500","1,190,658",-6%,2020-08-14 18:54:17,2020-08-13
32,Brady Timothy Nicholas,"Controller, Corp Secretary",S - Sale,ELGX,$0.08,"-1,741",-$141,891,-66%,2020-08-14 18:51:10,2020-08-12
33,Wilder Thomas,Dir,S - Sale,ELGX,$0.08,"-27,864","-$2,271",0,-100%,2020-08-14 18:49:02,2020-08-12
34,Morof Howard N,CFO,S - Sale,ALTR,$40.24,"-4,000","-$160,964","464,027",-1%,2020-08-14 18:48:17,2020-08-13
35,Thompson Matthew,Chief Medical Officer,S - Sale,ELGX,$0.09,"-21,888","-$1,926","52,878",-29%,2020-08-14 18:47:44,2020-08-12
36,Wadors Patricia L,Chief Talent Officer,S - Sale+OE,NOW,$432.36,-762,"-$329,455",0,-100%,2020-08-14 18:43:35,2020-08-13
