,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Gutshall Thomas L,Dir,S - Sale,CPHD,$25.09,"-1,000","-$25,087","927,766",0%,2011-01-31 21:35:29,2011-01-27
1,Flatley Jay T,"Pres, CEO",S - Sale+OE,ILMN,$70.57,"-25,000","-$1,764,235","336,354",-7%,2011-01-31 21:05:27,2011-01-27
2,Pasek Ronald J,"SVP, CFO",S - Sale+OE,ALTR,$37.47,"-14,674","-$549,841",725,-95%,2011-01-31 20:55:47,2011-01-31
3,Biran Dan,"SVP, Marketing, Tech Svcs",S - Sale+OE,ALTR,$37.63,"-6,224","-$234,205","8,429",-42%,2011-01-31 20:55:18,2011-01-31
4,Lafley Alan G,Dir,P - Purchase,GE,$20.17,"+25,000","+$504,250","70,862",+55%,2011-01-31 20:52:17,2011-01-27
5,Ludwig Eric R,"SVP, CFO, CAO",S - Sale+OE,GLUU,$3.00,"-45,000","-$135,027","57,000",-44%,2011-01-31 20:15:20,2011-01-27
6,Brausen James R,Corporate Controller,S - Sale,KTEC,$16.42,-600,"-$9,850","7,563",-7%,2011-01-31 20:13:23,2011-01-31
7,Marshall Edwin G,CEO,S - Sale,MZEI,$0.22,"-2,278,190","-$489,811","11,641,951",-16%,2011-01-31 20:12:06,2011-01-25
8,Emmett Dan A,"COB, 10%",S - Sale,DEI,$18.16,"-140,000","-$2,541,960","4,397,257",-3%,2011-01-31 20:02:38,2011-01-27
9,Lee Dooyong,EVP,S - Sale,ACTG,$24.91,"-7,658","-$190,798","140,000",-5%,2011-01-31 19:45:34,2011-01-27
10,Shulman Gail H,GC,S - Sale+OE,MIPS,$13.13,"-16,917","-$222,120",0,-100%,2011-01-31 19:40:23,2011-01-28
11,Haynes Clayton J,"CFO, Treas. SVP Finance",S - Sale,ACTG,$24.88,"-2,224","-$55,341","93,072",-2%,2011-01-31 19:39:54,2011-01-27
12,Harris Robert L II,Pres,S - Sale,ACTG,$24.88,"-5,653","-$140,668","474,100",-1%,2011-01-31 19:38:25,2011-01-27
13,Ryan Paul R,"COB, CEO",S - Sale,ACTG,$24.88,"-5,653","-$140,668","590,725",-1%,2011-01-31 19:36:52,2011-01-27
14,Treska Edward Joseph,"VP, Secretary",S - Sale,ACTG,$24.88,"-2,224","-$55,341","72,131",-3%,2011-01-31 19:35:06,2011-01-27
15,Swift Arthur L,"VP of Marketing, Bus Dev",S - Sale+OE,MIPS,$13.15,"-17,779","-$233,869",0,-100%,2011-01-31 19:33:11,2011-01-28
16,Rodriguez Pete,"Pres, CEO",P - Purchase,EXAR,$6.34,"+10,000","+$63,400","64,147",+18%,2011-01-31 19:31:56,2011-01-28
17,Long Bentley,VP WW SALES,S - Sale,EXAR,$6.50,"-4,235","-$27,528","24,054",-15%,2011-01-31 19:31:24,2011-01-31
18,Holtzinger Brad,VP of WW Sales,S - Sale+OE,MIPS,$12.85,"-15,001","-$192,773",0,-100%,2011-01-31 19:31:08,2011-01-28
19,Fuchs James J,SVP,S - Sale+OE,PX,$91.79,"-132,000","-$12,116,808","13,445",-91%,2011-01-31 19:29:40,2011-01-28
20,Vij Sandeep,"Pres, CEO",S - Sale+OE,MIPS,$13.27,"-16,666","-$221,098","40,770",-29%,2011-01-31 19:29:00,2011-01-28
