,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Ippolito Vincent P,"EVP, Chief Commercial Officer",S - Sale,ANAC,$63.86,"-9,000","-$574,753","67,985",-12%,2016-03-04 21:00:24,2016-03-02
1,Harr Steve,See Remarks,S - Sale,JUNO,$45.00,"-5,000","-$225,000","730,000",-1%,2016-03-04 21:00:20,2016-03-04
2,Bates Anthony John,Pres,S - Sale+OE,GPRO,$14.03,"-9,757","-$136,938","349,915",-3%,2016-03-04 20:44:53,2016-03-04
3,Finnin Jeffrey S,"CFO, Treasurer",S - Sale,COR,$63.82,"-1,371","-$87,497","136,519",-1%,2016-03-04 20:29:58,2016-03-03
4,Vargas Thadd M,"SVP, Business Development",S - Sale,DEPO,$15.18,"-10,000","-$151,780","160,737",-6%,2016-03-04 20:28:07,2016-03-02
5,Pressler Paul S,Dir,P - Purchase,EBAY,$23.94,"+4,180","+$100,054","10,448",+67%,2016-03-04 20:16:55,2016-02-01
6,Dobkin Richard J,Dir,S - Sale+OE,CBRL,$148.20,"-2,000","-$296,398","19,426",-9%,2016-03-04 20:16:48,2016-03-02
7,Kussell William A,Dir,S - Sale,STAY,$14.76,"-40,000","-$590,448","49,898",-44%,2016-03-04 20:08:34,2016-02-29
8,Carpenter Carol W.,Dir,S - Sale,DHX,$8.00,"-2,000","-$16,000","11,200",-15%,2016-03-04 20:02:52,2016-03-03
9,Korkus Ohad,CTO,S - Sale,VRNS,$18.82,"-33,000","-$621,210","1,253,108",-3%,2016-03-04 20:00:52,2016-03-02
10,Lee Joon Hyung,Dir,S - Sale,HAFC,$22.25,"-5,000","-$111,250","270,697",-2%,2016-03-04 20:00:24,2016-03-04
11,Tenenbaum Sheldon U.,"SVP, Supplier Development",S - Sale+OE,RS,$65.00,"-7,500","-$487,500","22,276",-25%,2016-03-04 19:53:03,2016-03-02
12,Shanley Michael Patrick,"SVP, Operations",S - Sale+OE,RS,$63.25,"-4,000","-$253,000","11,309",-26%,2016-03-04 19:52:00,2016-03-02
13,Janov Edward A,"SVP, Corporate Development",S - Sale,SWX,$61.11,"-1,200","-$73,326","33,920",-3%,2016-03-04 19:50:44,2016-03-04
14,Sales William K Jr,"EVP, Operations",S - Sale+OE,RS,$64.33,"-25,000","-$1,608,250","71,908",-26%,2016-03-04 19:50:40,2016-03-02
15,Lewis Karla R,"Sr. EVP, CFO",S - Sale+OE,RS,$65.44,"-40,000","-$2,617,755","65,876",-38%,2016-03-04 19:49:35,2016-03-03
16,Hoffman James Donald,"EVP, COO",S - Sale+OE,RS,$65.23,"-12,500","-$815,375","28,150",-31%,2016-03-04 19:47:46,2016-03-03
17,Hannah David H,Exec COB,S - Sale+OE,RS,$65.20,"-80,000","-$5,216,371","225,896",-26%,2016-03-04 19:46:16,2016-03-02
18,Reinland Andrew,"EVP, CFO",S - Sale,FFIV,$100.00,"-1,482","-$148,200","16,786",-8%,2016-03-04 19:38:28,2016-03-02
19,McAdam John,"Pres, CEO",S - Sale,FFIV,$100.00,"-7,168","-$716,800","14,406",-33%,2016-03-04 19:37:47,2016-03-02
20,Eames Edward Julian,"EVP, Chief Operations Officer",S - Sale,FFIV,$100.00,"-4,424","-$442,400","24,650",-15%,2016-03-04 19:35:14,2016-03-02
21,Citron Jeffrey A,"Dir, 10%",S - Sale,VG,$5.33,"-500,000","-$2,665,750","23,406,671",-2%,2016-03-04 19:32:40,2016-03-03
22,Deisley David,"EVP, GC",S - Sale+OE,NG,$6.95,"-106,582","-$740,745","806,748",-12%,2016-03-04 19:30:11,2016-03-04
23,Cao Wei (William),Dir,S - Sale+OE,CBMG,$17.55,"-7,500","-$131,625","174,472",-4%,2016-03-04 19:28:52,2016-03-02
24,Loewald Thomas W,SVP,S - Sale+OE,TMO,$137.28,"-3,625","-$497,640","44,169",-8%,2016-03-04 19:15:44,2016-03-03
25,Soon-Shiong Patrick,10%,S - Sale+OE,JAKK,$7.45,"-1,000,000","-$7,450,000","3,200,676",-24%,2016-03-04 19:04:03,2016-03-03
26,Harbourvest Partners 2007 Direct Associates L.P.,See Remarks,S - Sale,W,$45.57,-203,"-$9,250","24,083",-1%,2016-03-04 19:03:05,2016-03-03
27,Harbourvest Partners 2007 Direct Associates L.P.,See Remarks,S - Sale,W,$45.57,-203,"-$9,250","24,083",-1%,2016-03-04 19:02:19,2016-03-03
28,Harbourvest Partners 2007 Direct Associates L.P.,See Remarks,S - Sale,W,$43.18,"-224,797","-$9,706,948","14,624",-94%,2016-03-04 19:01:29,2016-03-02
29,Harbourvest Partners 2007 Direct Associates L.P.,See Remarks,S - Sale,W,$43.18,"-224,797","-$9,706,948","14,624",-94%,2016-03-04 19:00:48,2016-03-02
30,Retort Vincent,"EVP, COO",S - Sale,LITE,$25.00,"-5,926","-$148,150","13,385",-31%,2016-03-04 18:59:04,2016-03-02
31,Clegg Jackie M,Dir,P - Purchase,BKD,$15.56,"+1,500","+$23,340","42,278",+4%,2016-03-04 18:49:59,2016-03-04
32,Diab Labeed S.,COO,P - Purchase,BKD,$14.92,"+3,344","+$49,881","204,630",+2%,2016-03-04 18:49:13,2016-03-02
33,Waldis Stephen G,"CEO, COB",S - Sale+OE,SNCR,$30.00,"-8,709","-$261,272","637,036",-1%,2016-03-04 18:48:22,2016-03-02
34,Duffield David A,"COB, 10%",S - Sale+OE,WDAY,$71.61,"-400,000","-$28,642,474","1,548,399",-21%,2016-03-04 18:40:55,2016-03-02
35,Foster James C,"COB, Pres, CEO",S - Sale+OE,CRL,$75.00,"-20,072","-$1,505,400","393,976",-5%,2016-03-04 18:40:42,2016-03-02
36,Brin Sergey,"Pres, 10%",S - Sale+OE,GOOG,$726.94,"-33,332","-$24,230,243","20,748,045",0%,2016-03-04 18:40:39,2016-03-02
37,Ferry Kenneth M,CEO,P - Purchase,ICAD,$4.45,"+25,000","+$111,250","249,136",+11%,2016-03-04 18:40:13,2016-03-04
38,Burns Kevin C,"Pres, CFO, COO",P - Purchase,ICAD,$4.44,"+10,000","+$44,400","183,734",+6%,2016-03-04 18:39:10,2016-03-04
39,Rotsztain Diego,"GC, Secretary",S - Sale,GCAP,$7.32,"-2,932","-$21,448","76,850",-4%,2016-03-04 18:37:35,2016-03-02
40,Novo A/s,10%,S - Sale,TBRA,$6.80,"-190,000","-$1,292,086","2,281,405",-8%,2016-03-04 18:34:55,2016-03-02
41,Neale Sam,VP,S - Sale+OE,AAON,$25.79,-740,"-$19,084","23,923",-3%,2016-03-04 18:32:25,2016-03-03
42,Plunkett Matthew,"EVP, Chief Business Officer",S - Sale,CTIC,$0.59,"-10,000","-$5,904","590,084",-2%,2016-03-04 18:30:33,2016-03-04
43,Scott Jeffrey,COO,S - Sale,GCAP,$7.31,"-2,613","-$19,109","66,764",-4%,2016-03-04 18:26:47,2016-03-02
44,Roady Samantha,Chief Commercial Officer,S - Sale,GCAP,$7.31,"-2,721","-$19,902","245,507",-1%,2016-03-04 18:25:19,2016-03-02
45,O'Neill Julie,EVP. Global Operations,S - Sale,ALXN,$149.55,-651,"-$97,357","36,034",-2%,2016-03-04 18:21:57,2016-03-02
46,Rucker Michael A.,COO,S - Sale+OE,SCAI,$41.60,"-17,500","-$728,000","95,665",-15%,2016-03-04 18:12:18,2016-03-03
47,Bradway Robert A,"COB, CEO, Pres",S - Sale+OE,AMGN,$146.48,"-20,000","-$2,929,566","403,303",-5%,2016-03-04 18:07:54,2016-03-02
48,Rolls Paul E,"EVP Sales, Marketing",S - Sale,ON,$8.89,"-40,782","-$362,699","178,033",-19%,2016-03-04 18:06:42,2016-03-03
49,Matlock Susan W,Dir,S - Sale,RF,$8.10,"-26,000","-$210,600","113,193",-19%,2016-03-04 18:02:29,2016-03-03
50,Ostrander Daryl,Dir,S - Sale,ON,$9.05,"-5,700","-$51,587","80,965",-7%,2016-03-04 18:02:27,2016-03-04
51,Cowan David J/ca,Dir,S - Sale+OE,LOCK,$0.00,-0,-$0,"578,802",0%,2016-03-04 18:01:52,2016-02-16
52,Gellert John M,COO,S - Sale+OE,CKH,$48.04,"-9,666","-$464,362","147,929",-6%,2016-03-04 18:00:49,2016-03-02
53,Fabrikant Charles,"Exec COB, CEO",S - Sale+OE,CKH,$48.52,"-9,666","-$469,041","1,029,386",-1%,2016-03-04 18:00:33,2016-03-02
54,Sheffield Bryan,"See Remarks, 10%",S - Sale,PE,$18.89,"-35,715","-$674,656","38,607,100",0%,2016-03-04 18:00:24,2016-03-02
55,Parham Michael,SVP GC,S - Sale,RNWK,$4.11,"-12,000","-$49,314","32,885",-27%,2016-03-04 17:57:03,2016-03-03
56,Mehos Manuel J,"COB, CEO",P - Purchase,GNBC,$8.67,"+15,400","+$133,512","378,000",+4%,2016-03-04 17:55:08,2016-03-04
57,Pavlik Greg,Chief Products Officer,S - Sale,HDP,$12.04,"-1,872","-$22,539","470,933",0%,2016-03-04 17:50:20,2016-03-02
58,Fairholme Capital Management LLC,"Dir, 10%",S - Sale+OE,SHLD,$18.01,"-429,700","-$7,736,728","43,866,821",-1%,2016-03-04 17:50:19,2016-03-02
59,Borg Edward,10%,S - Sale,NAII,$12.08,"-45,868","-$554,085","979,425",-4%,2016-03-04 17:43:36,2016-03-02
60,George Michael A,Dir,S - Sale+OE,QVCA,$25.82,"-150,000","-$3,872,610","931,179",-14%,2016-03-04 17:43:35,2016-03-02
61,Baer Richard N,GC,S - Sale+OE,QVCA,$25.84,"-63,649","-$1,644,493","45,189",-58%,2016-03-04 17:43:33,2016-03-02
62,Berkowitz Bruce R,10%,S - Sale,SRG,$41.86,"-118,550","-$4,962,725","9,705,485",-1%,2016-03-04 17:42:04,2016-03-02
63,Hurst Phillip L,"Pres, CEO",S - Sale,THST,$1.35,"-66,613","-$89,936","20,953",-76%,2016-03-04 17:41:49,2016-03-04
64,Cowger Gary L,Dir,P - Purchase,TWI,$6.20,"+23,760","+$147,200","23,760",New,2016-03-04 17:41:20,2016-03-04
65,"Meridian Ohc Partners, LP",10%,P - Purchase,CYAN,$4.68,"+13,816","+$64,700","658,926",+2%,2016-03-04 17:38:33,2016-03-03
66,Mitchell Paul J,Dir,S - Sale+OE,ALKS,$32.80,"-2,000","-$65,600","8,000",-20%,2016-03-04 17:38:16,2016-03-04
67,Anstice David W,Dir,P - Purchase,ALKS,$32.87,"+5,000","+$164,366","15,000",+50%,2016-03-04 17:36:42,2016-03-03
68,Beshar Peter J,"EVP, GC",S - Sale,MMC,$57.52,"-18,309","-$1,053,081","135,953",-12%,2016-03-04 17:35:50,2016-03-03
69,King Luther Jr,Dir,S - Sale+OE,TYL,$123.41,-902,"-$111,313","253,231",0%,2016-03-04 17:35:10,2016-03-03
70,Delafield John D,"Dir, 10%",S - Sale,CSCD,$20.68,"-259,134","-$5,358,891","1,018,661",-20%,2016-03-04 17:32:34,2016-03-03
71,Engles Gregg L,"COB, CEO",S - Sale,WWAV,$40.22,"-25,000","-$1,005,505","2,406,877",-1%,2016-03-04 17:30:56,2016-03-03
72,Chang Joseph Y,Chief Scientific Officer,S - Sale+OE,NUS,$34.21,"-20,000","-$684,200","108,613",-16%,2016-03-04 17:30:40,2016-03-04
73,Walker Arthur C Jr,"SVP, Global Tax",P - Purchase,OCN,$2.27,"+10,000","+$22,742","18,179",+122%,2016-03-04 17:27:00,2016-03-03
74,Nielsen James Leroy,"Pres, COO",S - Sale+OE,SFM,$29.00,"-50,000","-$1,450,000","15,533",-76%,2016-03-04 17:26:55,2016-03-02
75,Newton Robert I,"EVP, GC",S - Sale,PCMI,$8.32,"-5,500","-$45,760","13,507",-29%,2016-03-04 17:26:21,2016-03-02
76,Ross William C,"SVP Engineering, Environ",S - Sale,WTR,$31.00,"-4,787","-$148,397","20,392",-19%,2016-03-04 17:26:00,2016-03-02
77,Jornayvaz Robert P III,"Exec. Chair, Pres, CEO, 10%",P - Purchase,IPI,$0.93,"+461,614","+$428,254","11,458,014",+4%,2016-03-04 17:20:39,2016-03-02
78,Mackin James P,"Pres, CEO",P - Purchase,CRY,$10.91,"+10,000","+$109,130","368,533",+3%,2016-03-04 17:20:17,2016-03-03
79,Sorensen Norman R,Dir,P - Purchase,ECPG,$26.58,"+2,000","+$53,160","13,058",+18%,2016-03-04 17:19:19,2016-03-04
80,Till Kimberly,Dir,P - Purchase,DGI,$16.43,+180,"+$2,957","29,848",+1%,2016-03-04 17:14:11,2016-03-04
81,Peterson Jeffrey S,"CFO, 10%",S - Sale,ACAR,$0.04,"-1,883,675","-$75,347","19,702,874",-9%,2016-03-04 17:13:31,2016-02-18
82,Muse John R,Dir,S - Sale,DF,$19.27,"-50,000","-$963,665","181,053",-22%,2016-03-04 17:13:07,2016-03-04
83,Stagner R. Stephen,CEO,S - Sale,MFRM,$45.15,-201,"-$9,074","1,011,536",0%,2016-03-04 17:07:38,2016-03-01
84,Jones Ernest E,Dir,S - Sale,UGI,$38.09,"-6,423","-$244,652","80,525",-7%,2016-03-04 17:07:36,2016-03-03
85,Stagner R. Stephen,CEO,S - Sale,MFRM,$44.66,"-4,586","-$204,815","1,011,737",0%,2016-03-04 17:07:23,2016-03-01
86,Spellings Margaret Mary,Dir,P - Purchase,MYCC,$14.95,"+1,300","+$19,429","4,399",+42%,2016-03-04 17:04:45,2016-03-04
87,Sefzik Peter L,EVP,S - Sale+OE,CMA,$35.43,"-2,500","-$88,575","8,141",-23%,2016-03-04 17:04:38,2016-03-02
88,Watson Mathew,"VP, Finance - Contr., CAO",S - Sale,BBY,$33.10,-679,"-$22,467","15,437",-4%,2016-03-04 17:04:06,2016-03-02
89,Ballard Shari L,"Pres, U.S. Retail, CHRO",S - Sale+OE,BBY,$32.99,"-184,986","-$6,102,688","73,981",-71%,2016-03-04 17:04:05,2016-03-03
90,Hoch Louis A,"Pres, COO, 10%",S - Sale,PYDS,$2.10,"-5,100","-$10,697","2,408,127",0%,2016-03-04 17:03:35,2016-03-02
91,Evergreen IV L.P.,10%,S - Sale,VRNS,$19.27,"-15,000","-$289,050","3,486,212",0%,2016-03-04 17:03:21,2016-03-02
92,"Realty Advisors, LLC",10%,P - Purchase,ARL,$6.65,"+5,418","+$36,030","9,303,066",0%,2016-03-04 17:01:39,2016-03-04
93,Maxwell W Keith III,"Dir, 10%",S - Sale,SPKE,$25.09,"-21,713","-$544,798","665,728",-3%,2016-03-04 17:01:27,2016-03-03
94,Wojtek Frank A,Dir,S - Sale,CRZO,$23.75,"-2,000","-$47,508","26,958",-7%,2016-03-04 17:01:17,2016-03-02
95,Ouchi William G,Dir,S - Sale+OE,SRE,$97.73,"-5,000","-$488,650","16,230",-24%,2016-03-04 17:00:45,2016-03-04
96,Danziger Asaf,CEO,P - Purchase,NVCR,$15.00,"+10,000","+$150,000","933,557",+1%,2016-03-04 17:00:16,2016-03-03
97,Rothblatt Martine A,"COB, Co-CEO",S - Sale+OE,UTHR,$126.79,"-5,547","-$703,276","625,437",-1%,2016-03-04 16:59:44,2016-03-03
98,Mylod Robert J Jr,Dir,P - Purchase,NVCR,$15.78,"+20,000","+$315,600","168,114",+14%,2016-03-04 16:58:44,2016-03-03
99,Lazarus Management Co LLC,10%,P - Purchase,BLSP,$0.07,"+350,000","+$25,520","52,908,343",+1%,2016-03-04 16:57:23,2016-03-02
100,Stagner R. Stephen,CEO,S - Sale,MFRM,$44.42,"-6,513","-$289,324","1,016,323",-1%,2016-03-04 16:56:50,2016-03-01
101,Lamberti Susan,Dir,S - Sale+OE,NFBK,$16.10,"-10,000","-$161,048","85,211",-11%,2016-03-04 16:56:41,2016-03-04
102,Stagner R. Stephen,CEO,S - Sale,MFRM,$44.11,"-3,700","-$163,219","1,022,836",0%,2016-03-04 16:56:31,2016-03-01
103,Jenks Timothy Storrs,CEO,S - Sale,NPTN,$12.15,"-50,000","-$607,500","168,780",-23%,2016-03-04 16:55:43,2016-03-02
104,Estate of Perry Sumas,Member of group 10% owner,S - Sale,VLGEA,$24.86,"-7,792","-$193,694","693,393",-1%,2016-03-04 16:55:39,2016-03-03
105,Fonte Paul,CTO,S - Sale+OE,ABCD,$4.40,"-5,000","-$22,000",0,-100%,2016-03-04 16:55:25,2016-03-01
106,Stanley Theodore H,Dir,S - Sale+OE,INSY,$18.11,"-20,000","-$362,200","18,200",-52%,2016-03-04 16:55:18,2016-03-04
107,"Tpg Group Holdings (Sbs) Advisors, Inc.",10%,S - Sale,SABR,$27.25,"-13,106,693","-$357,157,384","45,856,647",-22%,2016-03-04 16:55:15,2016-03-02
108,Nussdorf Lawrence C,Dir,P - Purchase,LDOS,$45.13,"+2,500","+$112,817","20,564",+14%,2016-03-04 16:54:52,2016-03-03
109,"Silver Lake Group, L.L.C.",10%,S - Sale,SABR,$27.25,"-8,668,053","-$236,204,444","30,019,094",-22%,2016-03-04 16:54:20,2016-03-02
110,Baity Glenn,"EVP, GC",S - Sale+OE,ACAD,$20.80,"-7,000","-$145,580","62,921",-10%,2016-03-04 16:54:13,2016-03-02
111,Fourteau Patrick,Dir,S - Sale,INSY,$18.22,"-15,000","-$273,300","64,682",-19%,2016-03-04 16:52:21,2016-03-04
112,Mowery Donald H,Dir,P - Purchase,FRAF,$21.30,+117,"+$2,492","43,429",0%,2016-03-04 16:51:31,2016-03-02
113,Pyle Michael R,"SVP, Engineering",S - Sale+OE,PEGA,$25.26,"-15,000","-$378,900","33,298",-31%,2016-03-04 16:49:57,2016-03-02
114,Plummer Michelle M,"EVP, COO, CFO",S - Sale+OE,GCBC,$35.00,"-1,900","-$66,500","27,308",-7%,2016-03-04 16:46:14,2016-03-03
115,Hanks Patricia A,SVP,P - Purchase,FRAF,$21.30,+5,+$107,"1,547",0%,2016-03-04 16:46:08,2016-03-02
116,Winges Martin Bradley,"CIO, Head of Fixed Income",S - Sale,PJC,$41.35,"-5,500","-$227,417","48,918",-10%,2016-03-04 16:44:47,2016-02-16
117,Sledge Charles M,"Sr Vice Pres, CFO",S - Sale+OE,CAM,$67.69,"-97,565","-$6,604,029","137,546",-41%,2016-03-04 16:44:22,2016-03-03
118,Caylor Mark A,"Corp VP, Pres ES, CSO",S - Sale,NOC,$192.55,"-7,717","-$1,485,908","25,578",-23%,2016-03-04 16:42:44,2016-03-02
119,Scheopner Michael E,"Pres, CEO",S - Sale+OE,LARK,$24.60,"-1,000","-$24,600","60,908",-2%,2016-03-04 16:42:35,2016-03-02
120,Mount Kellett Capital Management LP,10%,S - Sale,GULTU,$0.13,"-42,000","-$5,460","30,347,743",0%,2016-03-04 16:40:09,2016-03-02
121,Cekovich Ronald L,SVP,P - Purchase,FRAF,$21.30,+5,+$107,"2,071",0%,2016-03-04 16:37:51,2016-03-02
122,Kovach Susan A,"VP,GC, Secretary",S - Sale+OE,LBY,$16.95,"-2,500","-$42,375","60,748",-4%,2016-03-04 16:36:33,2016-03-04
123,Claus Christopher W,Dir,P - Purchase,TRUE,$5.80,"+5,000","+$29,000","77,364",+7%,2016-03-04 16:35:58,2016-03-02
124,Carmack Karen K,SVP,P - Purchase,FRAF,$21.30,+1,+$21,224,0%,2016-03-04 16:33:20,2016-03-02
125,Bonney Michael W,Dir,P - Purchase,CELG,$103.01,"+2,000","+$206,028","2,000",New,2016-03-04 16:33:09,2016-03-03
126,Johnston Lori A,"SVP, HR",S - Sale,CE,$61.65,"-29,063","-$1,791,705","52,560",-36%,2016-03-04 16:32:43,2016-03-02
127,Storey Jeffrey K,"Pres, COO",S - Sale,LVLT,$51.00,"-20,000","-$1,020,000","558,595",-3%,2016-03-04 16:32:19,2016-03-03
128,Hannah Alison L.,Dir,P - Purchase,NEO,$6.90,"+10,000","+$69,000","11,560",+641%,2016-03-04 16:31:54,2016-03-03
129,Wynnefield Partners Small Cap Value LP,10%,P - Purchase,SANW,$4.15,"+12,300","+$51,045","99,235",+14%,2016-03-04 16:30:57,2016-03-02
130,Alexander Patrick L,Exec COB,S - Sale,LARK,$24.50,-400,"-$9,800","155,320",0%,2016-03-04 16:29:15,2016-03-02
131,Duffey Gregory A,Dir,P - Purchase,FRAF,$21.81,+447,"+$9,751","1,932",+30%,2016-03-04 16:29:14,2016-03-02
132,Boykin Frank H,CFO,S - Sale,MHK,$188.17,"-3,128","-$588,607","35,665",-8%,2016-03-04 16:28:24,2016-03-04
133,Borg Edward,10%,S - Sale,NAII,$12.08,"-45,868","-$554,085","979,425",-4%,2016-03-04 16:28:17,2016-03-02
134,Richards Bruce,"SVP, GC",S - Sale,MANH,$58.43,"-11,268","-$658,417","27,371",-29%,2016-03-04 16:27:50,2016-03-04
135,Shur Irwin M,"VP, GC, Secretary",S - Sale+OE,SNA,$154.09,"-7,290","-$1,123,349","7,723",-49%,2016-03-04 16:27:49,2016-03-03
136,Klipsch Fred S,Dir,S - Sale,HCN,$65.75,"-2,269","-$149,187","17,606",-11%,2016-03-04 16:27:07,2016-03-03
