,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Weaver Amy E,"Pres, Legal, GC",S - Sale+OE,CRM,$139.90,-653,"-$91,353","22,107",-3%,2018-10-23 20:59:47,2018-10-23
1,Tallapragada Srinivas,"Pres, Technology",S - Sale+OE,CRM,$139.90,-470,"-$65,751","19,658",-2%,2018-10-23 20:56:27,2018-10-23
2,Harris Parker,"Co-Founder, CTO",S - Sale+OE,CRM,$140.14,"-5,711","-$800,333","2,023,140",0%,2018-10-23 20:30:02,2018-10-23
3,Block Keith,co-CEO,S - Sale+OE,CRM,$139.50,"-2,160","-$301,320","21,676",-9%,2018-10-23 20:25:58,2018-10-23
4,Benioff Marc,"COB, co-CEO",S - Sale,CRM,$140.10,"-5,000","-$700,484","32,220,800",0%,2018-10-23 20:23:28,2018-10-23
5,Leone Peter Brian,"VP, Strategic Bus. Initiatives",S - Sale+OE,ARWR,$13.49,"-131,137","-$1,769,038","130,000",-50%,2018-10-23 19:59:55,2018-10-19
6,Barton Richard N,Dir,S - Sale+OE,NFLX,$325.34,-700,"-$227,735","27,043",-3%,2018-10-23 19:49:11,2018-10-22
7,Wells David B,CFO,S - Sale+OE,NFLX,$332.67,"-1,000","-$332,670",0,-100%,2018-10-23 19:48:59,2018-10-22
8,Malone David P,"SEVP, COO",P - Purchase,HOPE,$14.58,"+3,450","+$50,286","15,591",+28%,2018-10-23 19:48:58,2018-10-19
9,Hastings Reed,CEO,S - Sale+OE,NFLX,$328.75,"-105,868","-$34,804,409","5,558,947",-2%,2018-10-23 19:48:49,2018-10-22
10,Gibson Joseph,Dir,P - Purchase,BOCH,$11.50,"+2,500","+$28,750","113,488",+2%,2018-10-23 19:39:26,2018-10-23
11,Riemer Joseph,Dir,S - Sale,SOTK,$2.49,"-12,915","-$32,114","120,045",-10%,2018-10-23 19:26:12,2018-10-19
12,Degeyter Brock M,See remarks below.,S - Sale,SMLP,$16.00,-400,"-$6,400","51,344",-1%,2018-10-23 19:23:25,2018-10-22
13,Barber Gerald F.,Dir,P - Purchase,ESXB,$8.25,+211,"+$1,741","25,594",+1%,2018-10-23 19:22:45,2018-10-19
