,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Buchanan Jeffrey D,Dir,P - Purchase,SWHC,$5.03,+150,+$754,"18,150",+1%,2008-04-28 21:27:32,2008-03-27
1,Kehl John H Jr,"CVP, Strategy, Corp Dev",S - Sale+OE,EW,$56.03,"-23,363","-$1,309,082","16,608",-58%,2008-04-28 21:16:18,2008-04-25
2,Chisholm John,Dir,S - Sale,FTK,$15.81,"-38,801","-$613,439","100,028",-28%,2008-04-28 21:13:59,2008-04-24
3,Movens Daniel H,CEO,S - Sale,CPD,$16.23,"-5,000","-$81,147","31,200",-14%,2008-04-28 20:59:28,2008-04-28
4,Fisher William Sydney,10%,S - Sale,GPS,$18.96,"-155,694","-$2,951,199","22,457,483",-1%,2008-04-28 20:43:03,2008-04-24
5,Fisher William Sydney,10%,S - Sale,GPS,$18.80,"-594,306","-$11,171,119","16,657,191",-3%,2008-04-28 20:42:41,2008-04-24
6,Fisher John J,10%,S - Sale,GPS,$18.95,"-150,321","-$2,849,209","30,264,734",0%,2008-04-28 20:42:03,2008-04-24
7,Fisher John J,10%,S - Sale,GPS,$18.80,"-599,679","-$11,271,697","24,494,778",-2%,2008-04-28 20:41:40,2008-04-24
8,Federico Corrado,Dir,S - Sale+OE,HOTT,$4.71,"-11,250","-$53,002","26,810",-30%,2008-04-28 20:41:17,2008-04-15
9,Fisher Robert J,"Dir, 10%",S - Sale+OE,GPS,$18.96,"-146,400","-$2,775,198","24,384,562",-1%,2008-04-28 20:41:11,2008-04-24
10,Fisher Robert J,"Dir, 10%",S - Sale,GPS,$18.80,"-603,600","-$11,346,403","19,412,370",-3%,2008-04-28 20:40:03,2008-04-24
11,Townsend Jay,"SVP, Corporate Dev.",S - Sale,CE,$44.54,-712,"-$31,716","85,909",-1%,2008-04-28 20:05:23,2008-04-24
12,Townsend Jay,"SVP, Corporate Dev.",S - Sale,CE,$44.21,"-9,910","-$438,140","86,621",-10%,2008-04-28 19:54:38,2008-04-24
13,Townsend Jay,"SVP, Corporate Dev.",S - Sale,CE,$44.02,"-10,133","-$446,083","96,531",-9%,2008-04-28 19:54:16,2008-04-24
