,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Flood David T,EVP,S - Sale+OE,ITW,$89.99,"-8,000","-$719,882","16,508",-33%,2005-12-20 21:42:17,2005-12-16
1,Demo Murray J,"EVP, CFO, Asst. Secretary",S - Sale+OE,ADBE,$38.76,"-113,590","-$4,402,748","51,198",-69%,2005-12-20 21:33:48,2005-12-19
2,Daley James E,Dir,S - Sale+OE,ADBE,$38.75,"-30,000","-$1,162,503","8,000",-79%,2005-12-20 21:31:28,2005-12-19
3,Yocam Delbert W,Dir,S - Sale+OE,ADBE,$38.67,"-40,000","-$1,546,624","10,000",-80%,2005-12-20 21:29:35,2005-12-19
4,Templeton Troy D,Dir,S - Sale,DEIX,$16.00,"-2,234,374","-$35,749,984","1,843,195",-55%,2005-12-20 21:25:18,2005-12-16
5,Powell Earl W,Dir,S - Sale,DEIX,$16.00,"-2,234,374","-$35,749,984","1,843,195",-55%,2005-12-20 21:23:39,2005-12-16
6,Reyes George,CFO,S - Sale,GOOG,$426.18,"-1,506","-$641,820","50,722",-3%,2005-12-20 21:20:25,2005-12-16
7,Reyes George,CFO,S - Sale,GOOG,$426.24,-742,"-$316,272","298,399",0%,2005-12-20 21:20:00,2005-12-16
8,Rosenberg Jonathan J,VP Prod. Mgmt.,S - Sale,GOOG,$426.15,-888,"-$378,418","340,425",0%,2005-12-20 21:19:34,2005-12-16
9,Hennessy John L,Dir,S - Sale+OE,GOOG,$426.24,-500,"-$213,121","6,645",-7%,2005-12-20 21:19:13,2005-12-16
10,Elias Jon E,Dir,S - Sale,DEIX,$16.00,"-2,234,374","-$35,749,984","1,843,195",-55%,2005-12-20 21:18:44,2005-12-16
11,"Trivest-Dei Co-Investment Fund, Ltd.",10%,S - Sale,DEIX,$16.00,"-440,000","-$7,040,000","1,843,195",-19%,2005-12-20 21:16:55,2005-12-16
12,"Trivest Fund Iii, L.P.",10%,S - Sale,DEIX,$16.00,"-1,055,312","-$16,884,992","4,416,292",-19%,2005-12-20 21:13:42,2005-12-16
13,"Trivest Fund Ii, Ltd.",10%,S - Sale,DEIX,$16.00,"-739,062","-$11,824,992","3,093,471",-19%,2005-12-20 21:09:49,2005-12-16
14,Waitt Theodore W,10%,S - Sale,GTW,$2.61,"-162,800","-$425,550","85,585,433",0%,2005-12-20 21:04:00,2005-12-19
15,Smith Harold B,Dir,S - Sale,ITW,$89.46,"-60,000","-$5,367,786","8,564,702",-1%,2005-12-20 20:56:15,2005-11-17
16,Haddock Gerald W,Dir,P - Purchase,CFW,$7.03,"+10,000","+$70,326","36,500",+38%,2005-12-20 20:45:17,2005-12-19
17,Hawit Andre,VP of Software Development,S - Sale,PDFS,$16.05,"-5,631","-$90,367","1,269,657",0%,2005-12-20 20:05:02,2005-12-19
18,Hawit Andre,VP of Software Development,S - Sale,PDFS,$15.92,"-15,369","-$244,716","1,275,288",-1%,2005-12-20 20:02:13,2005-12-19
19,Hanford Deirdre,"SVP, WWAS",S - Sale+OE,SNPS,$20.28,"-30,000","-$608,379","11,587",-72%,2005-12-20 20:00:11,2005-12-20
20,Evnin Luke,Dir,S - Sale,OSCI,$2.30,"-174,300","-$401,028","3,563,235",-5%,2005-12-20 19:37:23,2005-12-16
21,Bailar Gregor,EVP,S - Sale+OE,COF,$87.46,"-2,801","-$244,975","107,060",-3%,2005-12-20 19:33:55,2005-12-20
22,Benioff Marc,"COB, CEO, 10%",S - Sale,CRM,$34.72,"-3,300","-$114,583","24,331,006",0%,2005-12-20 19:29:43,2005-12-19
23,Benioff Marc,"COB, CEO, 10%",S - Sale,CRM,$34.40,"-16,700","-$574,540","24,334,306",0%,2005-12-20 19:29:06,2005-12-19
24,Parker Brian,"Co-CEO, CFO, EVP (former)",S - Sale+OE,GBEL,$9.09,"-30,000","-$272,650",92,-100%,2005-12-20 19:24:06,2005-12-16
25,Kite Alvin E Jr,"COB, Trustee",P - Purchase,KRG,$15.26,"+1,000","+$15,260","645,304",0%,2005-12-20 19:22:49,2005-12-16
26,Lopez George A,COB,S - Sale+OE,ICUI,$40.00,"-4,052","-$162,080","1,224,088",0%,2005-12-20 19:20:03,2005-12-20
27,Barron Partners LP,10%,S - Sale+OE,QGI,$1.50,"-140,000","-$210,000","4,693,333",-3%,2005-12-20 19:18:40,2005-12-19
28,Benjamin Christopher J,"SVP, CFO",S - Sale+OE,ALEX,$54.37,"-3,000","-$163,100","14,221",-17%,2005-12-20 19:18:29,2005-12-19
29,Biggs Charles L,Dir,P - Purchase,STAN,$19.05,+150,"+$2,858","3,324",+5%,2005-12-20 19:16:07,2005-12-16
30,Norton John R,Dir,P - Purchase,APOL,$63.78,"+1,000","+$63,780","1,000",New,2005-12-20 19:07:21,2005-12-16
31,Barbieri Richard L,Dir,S - Sale,RLH,$9.29,"-1,500","-$13,930","429,576",0%,2005-12-20 19:03:37,2005-12-16
32,Cannell Capital LLC,10%,S - Sale,ORCI,$6.00,-400,"-$2,400","607,200",0%,2005-12-20 19:01:32,2005-12-16
33,Kuhl P David,"COB, CEO-Busey Bank",S - Sale+OE,BUSE,$20.65,"-30,000","-$619,500","304,298",-9%,2005-12-20 19:00:38,2005-12-16
34,Barron Partners LP,10%,S - Sale+OE,ENUI,$0.27,"-2,500,000","-$675,000","8,000,000",-24%,2005-12-20 19:00:21,2005-12-19
35,Scangos George A,"Pres, CEO",S - Sale,EXEL,$8.86,"-2,500","-$22,159","1,514,841",0%,2005-12-20 18:57:48,2005-12-19
36,Emster Kurt Von,Dir,P - Purchase,SOMX,$11.00,"+182,000","+$2,002,000","473,807",+62%,2005-12-20 18:57:17,2005-12-20
37,Beeks Steve,"Pres, Lions Gate Ent. Inc",P - Purchase,LGF,$7.75,"+5,000","+$38,747","20,000",+33%,2005-12-20 18:57:07,2005-12-20
38,Gleespen Michael W,Corporate Secretary,P - Purchase,CBIZ,$6.10,+16,+$100,"13,353",0%,2005-12-20 18:56:07,2005-12-19
39,Gerard Steven L,CEO,P - Purchase,CBIZ,$6.10,+41,+$250,"150,687",0%,2005-12-20 18:53:01,2005-12-19
40,Knox E Phillips,Dir,S - Sale+OE,BUSE,$20.52,"-2,615","-$53,660","302,105",-1%,2005-12-20 18:52:59,2005-11-07
41,Kuhl Barbara J,Pres- First Busey Corp.,S - Sale+OE,BUSE,$20.65,"-30,000","-$619,500","304,298",-9%,2005-12-20 18:52:25,2005-12-16
42,Steinhart Ronald G,Dir,S - Sale,CANI,$4.91,"-7,000","-$34,349","1,000",-88%,2005-12-20 18:51:45,2005-12-12
43,Advanced Technology Asset Management LLC,10%,P - Purchase,ETC,$5.09,"+4,800","+$24,422","1,625,330",0%,2005-12-20 18:51:17,2005-12-16
44,O Byrne Robert,SVP,P - Purchase,CBIZ,$6.10,+16,+$100,"351,950",0%,2005-12-20 18:51:08,2005-12-19
45,Terrill Alan,COO,S - Sale,MVCO,$13.32,"-6,150","-$81,888","16,689",-27%,2005-12-20 18:50:59,2005-12-19
46,Peter Ladell W,Dir,P - Purchase,DRTE,$14.65,"+1,000","+$14,650","3,500",+40%,2005-12-20 18:48:40,2005-12-19
47,Schwalbe John F,Dir,S - Sale+OE,MIND,$17.83,"-50,000","-$891,423","6,000",-89%,2005-12-20 18:47:15,2005-12-16
48,Grisko Jerome P,"Pres, COO",P - Purchase,CBIZ,$6.10,+41,+$250,"45,523",0%,2005-12-20 18:47:06,2005-12-19
49,Lewis R Dean,Dir,S - Sale+OE,MIND,$17.75,"-75,000","-$1,330,960","4,000",-95%,2005-12-20 18:46:56,2005-12-16
50,Spurio Chris,VP of Finance,P - Purchase,CBIZ,$6.10,+16,+$100,"5,113",0%,2005-12-20 18:34:40,2005-12-19
51,Paciotti Nazzareno,CEO,P - Purchase,GVIS,$0.15,"+200,000","+$29,000","233,333",+600%,2005-12-20 18:34:30,2005-12-20
52,Powell Phillip E,Dir,S - Sale+OE,FCFS,$29.38,"-12,560","-$369,013","174,640",-7%,2005-12-20 18:33:24,2005-12-16
53,Harbert Distressed Investment Master Fund Ltd,10%,P - Purchase,SKYT,$38.00,"+17,397","+$661,166","3,249,970",+1%,2005-12-20 18:31:43,2005-12-16
54,Nichols Eugene L,Dir,S - Sale,BOCH,$10.15,"-2,920","-$29,638","177,810",-2%,2005-12-20 18:31:32,2005-12-20
55,Keating Frank A,Dir,S - Sale+OE,CHK,$32.04,"-8,810","-$282,315","44,908",-16%,2005-12-20 18:31:14,2005-12-16
56,Cooper Fred W,VP of Operations,S - Sale+OE,USNA,$40.38,"-4,000","-$161,520","49,000",-8%,2005-12-20 18:28:29,2005-12-16
57,Black Bear Offshore Master Fund LP,10%,P - Purchase,PTIE,$6.79,"+45,812","+$311,249","4,884,368",+1%,2005-12-20 18:25:48,2005-12-19
58,Knabb Jasper Calvin,Pres,P - Purchase,PGWC,$7.67,"+10,800","+$82,879","1,084,186",+1%,2005-12-20 18:25:33,2005-12-19
59,Oconnell Desmond H Jr,Dir,P - Purchase,SERO,$4.69,"+12,500","+$58,600","66,388",+23%,2005-12-20 18:21:26,2005-12-19
60,Oconnell Desmond H Jr,Dir,S - Sale+OE,SERO,$19.12,"-12,500","-$239,025","66,388",-16%,2005-12-20 18:21:26,2005-12-19
61,Knabb Jasper Calvin,Pres,P - Purchase,PGWC,$7.50,"+10,000","+$74,970","1,073,386",+1%,2005-12-20 18:19:32,2005-12-16
62,Dipaolo Angelo,Dir,P - Purchase,MBHI,$22.70,"+3,000","+$68,100","842,533",0%,2005-12-20 18:19:15,2005-12-19
63,Jannard James,"COB, 10%",P - Purchase,OO,$14.65,"+49,400","+$723,700","44,101,000",0%,2005-12-20 18:15:18,2005-12-19
64,Morris Thomas C,Dir,P - Purchase,DPM,$21.50,"+5,000","+$107,500","5,000",New,2005-12-20 18:11:19,2005-12-07
65,Lidow Eric,COB,S - Sale+OE,IRF,$32.59,"-4,000","-$130,378","1,434,607",0%,2005-12-20 18:11:02,2005-12-20
66,McPherson Frank A,Dir,P - Purchase,DPM,$21.50,"+3,700","+$79,550","3,700",New,2005-12-20 18:10:57,2005-12-07
67,Cody Derrill,Dir,P - Purchase,DPM,$21.50,"+15,000","+$322,500","15,000",New,2005-12-20 18:10:36,2005-12-07
68,Carroll Milton,Dir,P - Purchase,DPM,$21.50,"+3,000","+$64,500","3,000",New,2005-12-20 18:10:18,2005-12-07
69,Wilson James N,Dir,S - Sale,AMLN,$40.00,"-8,000","-$320,000","59,000",-12%,2005-12-20 18:09:34,2005-12-20
70,Mullins Birch M,Dir,P - Purchase,EFSC,$22.53,"+3,634","+$81,863","58,184",+7%,2005-12-20 18:09:32,2005-12-15
71,Jasper N William Jr,"Pres, CEO",S - Sale+OE,DLB,$17.42,"-10,000","-$174,234","1,000",-91%,2005-12-20 18:04:16,2005-12-19
72,Jasper N William Jr,"Pres, CEO",S - Sale+OE,DLB,$17.95,"-10,000","-$179,497","1,000",-91%,2005-12-20 18:00:16,2005-12-16
73,Mills William C. III,Dir,S - Sale,STXS,$8.33,-600,"-$5,001","11,644",-5%,2005-12-20 17:59:03,2005-12-19
74,House Patricia A,Dir,S - Sale+OE,SEBL,$10.52,"-500,000","-$5,262,000","1,425,592",-26%,2005-12-20 17:57:09,2005-12-19
75,Keller John Frank,EVP,S - Sale+OE,BBG,$41.96,"-6,000","-$251,749","331,737",-2%,2005-12-20 17:54:25,2005-12-19
76,Kelly Michael Gerald,"VP, Drug Discovery",S - Sale,RNVS,$15.66,"-4,000","-$62,626","41,800",-9%,2005-12-20 17:48:07,2005-12-16
77,Ross Harvey,Dir,P - Purchase,ISEE,$0.16,"+10,000","+$1,600","1,443,998",+1%,2005-12-20 17:46:05,2005-09-29
78,Bell Lawrence T,"SVP, GC, Secretary",S - Sale+OE,ECL,$35.50,"-9,165","-$325,368","118,101",-7%,2005-12-20 17:41:20,2005-12-16
79,Carr Oliver T III,"Pres, CEO, COB",P - Purchase,COE,$15.13,"+3,250","+$49,163","3,250",New,2005-12-20 17:37:40,2005-12-19
80,Ebanker USA Com Inc,"10% beneficial owner, 10%",S - Sale+OE,GLOB,$0.00,"-14,710,195",-$0,0,-100%,2005-12-20 17:34:22,2005-12-16
81,Key Colony Fund LP,10%,P - Purchase,LGN,$10.43,"+12,300","+$128,323","2,745,600",0%,2005-12-20 17:33:34,2005-12-19
82,Peelish Michael R,"SVP,Safety, HR",S - Sale+OE,FCL,$38.02,"-9,038","-$343,667","42,252",-18%,2005-12-20 17:33:27,2005-12-19
83,Feehan Daniel R,"CEO, Pres",S - Sale+OE,CSH,$22.78,"-20,675","-$471,074","327,495",-6%,2005-12-20 17:32:37,2005-12-20
84,Lifshatz Stephen J,"SVP, CFO",S - Sale,LIOX,$6.25,"-55,000","-$343,750","163,076",-25%,2005-12-20 17:31:16,2005-12-19
85,Hanauer Nicolas J,Dir,S - Sale,AQNT,$25.58,"-30,000","-$767,335","5,080,651",-1%,2005-12-20 17:30:40,2005-12-19
86,Beverly Joe E,Dir,S - Sale+OE,FLO,$27.62,"-4,500","-$124,277","66,239",-6%,2005-12-20 17:29:20,2005-12-20
87,Bryja James J,"SVP, Eastern Operatons",S - Sale,FCL,$37.91,"-3,030","-$114,858","60,972",-5%,2005-12-20 17:28:58,2005-12-19
88,Knowles C Harry,"Dir, 10%",S - Sale,MTLG,$19.90,"-8,857","-$176,254","7,717,923",0%,2005-12-20 17:26:53,2005-12-19
89,Hayes Gregory,"VP, Accounting, Control",S - Sale+OE,UTX,$57.50,"-4,305","-$247,538","3,572",-55%,2005-12-20 17:25:43,2005-12-20
90,Bigl James J,Dir,S - Sale+OE,NMHC,$27.58,"-30,000","-$827,381","2,000",-94%,2005-12-20 17:24:06,2005-12-19
91,Hearst Broadcasting Inc,10%,P - Purchase,HTV,$23.75,"+100,000","+$2,375,000","23,924,110",0%,2005-12-20 17:22:57,2005-12-19
92,National Amusements Inc /md/,10%,P - Purchase,MWY,$20.83,"+4,800","+$99,970","22,262,271",0%,2005-12-20 17:22:03,2005-12-20
93,National Amusements Inc /md/,10%,P - Purchase,MWY,$20.84,"+40,200","+$837,588","22,257,471",0%,2005-12-20 17:22:02,2005-12-20
94,Marxe Austin W & Greenhouse David M,10%,S - Sale,WPCS,$10.09,"-4,020","-$40,575","875,147",0%,2005-12-20 17:19:51,2005-12-16
95,Ricketts James F,"Corporate VP, Treasurer",S - Sale+OE,IM,$20.00,"-38,880","-$777,600","2,832",-93%,2005-12-20 17:19:38,2005-12-19
96,Lazrus Sherman,Dir,S - Sale,IMDS,$0.16,"-10,000","-$1,600",0,-100%,2005-12-20 17:18:24,2005-12-09
97,Hesse Martha O,Dir,P - Purchase,EEQ,$46.98,"+4,000","+$187,908","6,966",+135%,2005-12-20 17:18:22,2005-12-16
98,Hernandez Mark,"SVP, CIO",S - Sale+OE,TWTC,$9.66,"-15,000","-$144,869","50,000",-23%,2005-12-20 17:16:08,2005-12-16
99,Amos Norman E,Vice Pres Supply Chain Mgt,S - Sale+OE,LMS,$27.00,"-34,000","-$918,000","29,975",-53%,2005-12-20 17:14:05,2005-12-16
100,Gabelli Marc,"Chairman, 10%",P - Purchase,LGL,$7.25,"+112,628","+$816,553","450,512",+33%,2005-12-20 17:13:29,2005-12-16
101,Sutterer Norman P,SVP,S - Sale+OE,LMS,$27.64,"-41,000","-$1,133,363","20,657",-66%,2005-12-20 17:11:57,2005-12-19
102,Gerkens Henry H,"Pres, CEO",S - Sale,LSTR,$43.15,"-14,400","-$621,395","117,092",-11%,2005-12-20 17:10:41,2005-12-19
103,Sturgeon Robert,"VP, Operations, CIO",S - Sale+OE,BELM,$8.14,"-2,000","-$16,280",0,-100%,2005-12-20 17:10:34,2005-12-16
104,Gerkens Henry H,"Pres, CEO",S - Sale,LSTR,$42.63,"-10,404","-$443,513","131,492",-7%,2005-12-20 17:10:13,2005-12-19
105,Lane Zucker Keith S,10%,P - Purchase,ADAPQ,$0.06,"+77,000","+$4,243","5,133,575",+2%,2005-12-20 17:09:47,2005-12-15
106,Sloane Barry,"CEO, COB, 10%",P - Purchase,NKBS,$1.54,"+50,000","+$76,750","4,639,492",+1%,2005-12-20 17:09:36,2005-12-20
107,Beam Francis H Jr,Dir,S - Sale,LMS,$27.08,"-2,286","-$61,905","9,141",-20%,2005-12-20 17:09:30,2005-12-16
108,Taplin David F,Dir. and Member of a Group,S - Sale+OE,NC,$118.47,-150,"-$17,771","22,597",-1%,2005-12-20 17:09:03,2005-12-15
109,Gerkens Henry H,"Pres, CEO",S - Sale+OE,LSTR,$42.36,"-15,196","-$643,661","141,896",-10%,2005-12-20 17:09:01,2005-12-19
110,Hennessy Neil J,"Pres, CEO, 10%",S - Sale,HNNA,$25.25,"-24,000","-$606,000","925,233",-3%,2005-12-20 17:08:19,2005-12-19
111,Abrams Sharlene,CFO,S - Sale,OPSW,$7.51,"-10,000","-$75,100","416,393",-2%,2005-12-20 17:08:07,2005-12-16
112,Dickerman Jennifer,Sub Dir - Member of a Group,S - Sale,NC,$118.47,-600,"-$71,082","97,513",-1%,2005-12-20 17:07:47,2005-12-15
113,Seavey Thomas L,Dir,S - Sale+OE,HNNA,$25.10,"-15,000","-$376,500","7,500",-67%,2005-12-20 17:07:08,2005-12-12
114,Hajdik Lloyd A,"VP - Corp Controller, CAO",S - Sale+OE,CDIS,$38.36,"-2,000","-$76,720","4,468",-31%,2005-12-20 17:06:34,2005-12-16
115,Rankin Chloe O,Member of a Group,S - Sale+OE,NC,$118.53,-500,"-$59,266","133,352",0%,2005-12-20 17:06:12,2005-12-15
116,Catani Albert J II,VP-Manufacturing,S - Sale,LMS,$26.93,"-6,600","-$177,747","11,130",-37%,2005-12-20 17:06:00,2005-12-16
117,Rankin Claiborne R,NMHG Dir and Group Member,S - Sale+OE,NC,$118.53,-500,"-$59,266","133,352",0%,2005-12-20 17:05:01,2005-12-15
118,Ramsay Michael,Dir,S - Sale,TIVO,$5.24,"-10,000","-$52,444","1,404,829",-1%,2005-12-20 17:04:10,2005-12-19
