,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Dunbar Geoffrey C,"VP, Clin. Dev., Reg. Affairs",S - Sale+OE,TRGT,$17.19,"-11,000","-$189,101","23,755",-32%,2009-09-18 21:14:21,2009-09-18
1,Bell Sharon,Dir,S - Sale,BOKF,$46.44,"-2,300","-$106,803","39,869",-5%,2009-09-18 20:59:27,2009-09-18
2,Bush Michael J,Dir,P - Purchase,NTN,$0.53,"+4,000","+$2,120","20,000",+25%,2009-09-18 20:54:49,2009-09-17
3,Morrow John C,SVP - Accounting,S - Sale+OE,BOKF,$47.38,"-3,383","-$160,287","8,088",-29%,2009-09-18 20:23:41,2009-09-17
4,Walt David R,Dir,S - Sale,ILMN,$37.89,"-5,000","-$189,435","1,301,606",0%,2009-09-18 20:02:38,2009-09-16
5,Staggs Thomas O,"Sr. EVP, Chief Finan. Officer",S - Sale+OE,DIS,$28.51,"-250,000","-$7,126,859","211,426",-54%,2009-09-18 20:01:46,2009-09-17
6,Tipermas Marc,Pres of National Programs,P - Purchase,WLDN,$2.65,"+3,714","+$9,835","6,214",+149%,2009-09-18 19:47:08,2009-09-16
7,Fritsch Edward J,"Pres, CEO",S - Sale+OE,HIW,$32.59,"-10,000","-$325,900","338,427",-3%,2009-09-18 19:40:50,2009-09-16
8,Bbs Capital Fund LP,10%,P - Purchase,KONA,$3.58,"+50,000","+$178,750","1,050,000",+5%,2009-09-18 19:33:01,2009-09-18
9,Richards Douglas J.,"VP, HR, Corporate Services",S - Sale,SPWRA,$30.57,"-4,015","-$122,744",0,-100%,2009-09-18 19:30:28,2009-09-16
10,Jacobs Joey A,"COB, Pres, CEO",S - Sale+OE,PSYS,$30.04,"-15,908","-$477,856","340,612",-4%,2009-09-18 19:20:41,2009-09-16
11,Sugar Ronald D,CEO,S - Sale+OE,NOC,$50.00,"-13,333","-$666,650","674,229",-2%,2009-09-18 19:20:35,2009-09-17
12,Alberg Tom A,Dir,S - Sale,AMZN,$90.00,"-2,222","-$199,980","56,394",-4%,2009-09-18 19:19:38,2009-09-16
13,Farrington Deborah A,Dir,S - Sale,N,$15.01,"-100,000","-$1,501,094","2,503,732",-4%,2009-09-18 19:09:25,2009-09-16
14,McGeever James,CFO,S - Sale,N,$14.79,"-5,000","-$73,948","352,901",-1%,2009-09-18 19:09:01,2009-09-16
15,Goldberg Evan,"CTO, COB",S - Sale,N,$15.00,"-2,000","-$30,000","3,210,181",0%,2009-09-18 19:08:30,2009-09-16
