,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,"Trilogy Capital Partners, Inc.",10%,S - Sale+OE,ARTD,$0.00,"-197,734",-$0,"197,734",-50%,2009-01-20 21:44:37,2009-01-15
1,Racada Corp.,10%,S - Sale+OE,ARTD,$0.00,"-197,734",-$0,"197,734",-50%,2009-01-20 21:24:25,2009-01-15
2,Fisher Sheldon,"SVP, Sales, Prod Mtkg",S - Sale,ALSK,$8.98,"-8,000","-$71,824","41,383",-16%,2009-01-20 21:15:38,2009-01-20
3,Rein Robert,10%,S - Sale+OE,ARTD,$0.00,"-197,734",-$0,"197,734",-50%,2009-01-20 21:03:18,2009-01-15
4,Villard Dimitri,"Interim CEO, 10%",P - Purchase,ARTD,$0.00,"+197,734",+$0,"197,734",New,2009-01-20 20:37:46,2009-01-15
5,Oboyle Kevin C,"CFO, EVP",S - Sale+OE,NUVA,$36.92,"-6,000","-$221,503","2,813",-68%,2009-01-20 20:27:37,2009-01-15
6,Furman William A,"Pres, CEO",P - Purchase,GBX,$5.48,"+40,000","+$219,053","1,450,000",+3%,2009-01-20 20:08:00,2009-01-20
7,Scopa James Paul,"Dir, 10%",P - Purchase,PLI,$8.14,"+9,882","+$80,402","2,882,139",0%,2009-01-20 20:02:03,2009-01-15
8,Downey Patrick Gerard,Dir,P - Purchase,AGXM,$0.10,"+200,000","+$20,000","600,000",+50%,2009-01-20 19:42:38,2009-01-15
9,Kailian Vaughn M,10%,P - Purchase,PLIN,$8.14,"+9,882","+$80,402","3,401,939",0%,2009-01-20 19:42:02,2009-01-15
10,Mpm Bioventures IV Qp LP,10%,P - Purchase,PLIN,$8.14,"+9,882","+$80,402","3,401,939",0%,2009-01-20 19:39:38,2009-01-15
11,Dunn Eric,Dir,S - Sale,SFSF,$5.42,"-28,400","-$153,788","1,523,689",-2%,2009-01-20 19:30:10,2009-01-15
12,Hicks Ken,Pres,P - Purchase,AGXM,$0.15,"+750,000","+$112,500","2,633,332",+40%,2009-01-20 19:15:06,2009-01-15
13,Moller Paul S,"Pres, 10%",S - Sale,MLER,$0.50,"-450,000","-$223,600","24,894,415",-2%,2009-01-20 19:12:38,2008-05-30
14,Thibault Richard Andre,Dir,P - Purchase,AGXM,$0.10,"+75,000","+$7,500","75,000",New,2009-01-20 19:08:17,2009-01-15
15,Cohen Joel Charles,Dir,S - Sale,ICPR,$0.17,"-20,000","-$3,360","341,004",-6%,2009-01-20 19:04:40,2009-01-16
16,Cohen Joel Charles,Dir,S - Sale,ICPR,$0.18,"-40,000","-$7,305","361,004",-10%,2009-01-20 19:04:30,2009-01-12
17,Berkshire Hathaway Inc,10%,P - Purchase,BNI,$62.15,"+4,363,000","+$271,173,569","74,452,029",+6%,2009-01-20 19:01:04,2009-01-15
18,Yergin Daniel,"EVP, Strategic Advisor",S - Sale,IHS,$44.80,"-7,500","-$336,020","84,848",-8%,2009-01-20 18:56:28,2009-01-16
19,Kemp Jack F,Dir,S - Sale+OE,ORCL,$16.73,"-132,500","-$2,216,070","5,000",-96%,2009-01-20 18:55:19,2009-01-16
20,Bereday Thaddeus,"Former SVP, GC",S - Sale,WCG,$112.58,"-2,403","-$270,537","49,985",-5%,2009-01-20 18:31:03,2007-10-10
21,Drazenovic George,"Pres Secretary Treasurer, 10%",S - Sale,SCEY,$0.04,"-40,000","-$1,539","79,942,500",0%,2009-01-20 18:30:53,2009-01-16
22,Stephens Warren A,10%,P - Purchase,CPWM,$0.90,"+4,295","+$3,862","2,709,933",0%,2009-01-20 18:28:51,2009-01-15
23,Stephens Investments Holdings LLC,10%,P - Purchase,CPWM,$0.90,"+4,295","+$3,862","2,709,933",0%,2009-01-20 18:27:48,2009-01-15
24,Vereschagin Alex A Jr,Secretary of the Board,P - Purchase,TCBK,$21.00,"+2,000","+$42,000","1,289,523",0%,2009-01-20 18:24:19,2009-01-20
25,Davis Scott,"SVP,Chief Concept Officer",S - Sale+OE,PNRA,$46.03,"-3,750","-$172,613","17,728",-17%,2009-01-20 18:21:32,2009-01-15
26,Casey William J,Chairman of the Board,P - Purchase,TCBK,$21.00,"+2,000","+$42,000","1,836,758",0%,2009-01-20 18:18:14,2009-01-20
27,Paul & Jane Meyer Family Foundation,10%,S - Sale,RELV,$4.77,"-2,000","-$9,540","2,169,140",0%,2009-01-20 18:14:04,2009-01-16
28,Smith Clyde W Jr,Dir,S - Sale,SFY,$15.42,"-5,679","-$87,549","15,781",-26%,2009-01-20 18:12:15,2009-01-15
29,Gingo Joseph M,CEO,P - Purchase,SHLM,$15.72,"+12,500","+$196,450","52,100",+32%,2009-01-20 18:09:32,2009-01-15
30,Smith Richard P,"Pres, CEO",P - Purchase,TCBK,$21.00,"+2,000","+$42,000","1,279,466",0%,2009-01-20 18:08:42,2009-01-20
31,Vaughan Stephen C,"EVP, CFO",S - Sale+OE,SONC,$9.70,"-20,000","-$194,000","74,688",-21%,2009-01-20 17:54:14,2009-01-20
32,"Harbinger Capital Partners Special Situations Fund, L.P.","*See Remarks, 10%",S - Sale,SRLS,$1.35,"-66,700","-$89,790","4,254,672",-2%,2009-01-20 17:50:42,2009-01-15
33,Foxhill Capital Partners LLC,10%,P - Purchase,VLCY,$1.50,"+181,700","+$272,605","4,578,635",+4%,2009-01-20 17:47:14,2009-01-16
34,Zink Darell E Jr,Dir,P - Purchase,KRG,$5.39,+180,+$968,"14,900",+1%,2009-01-20 17:45:58,2009-01-19
35,Smith Michael L,Dir,P - Purchase,KRG,$5.39,+237,"+$1,275","21,248",+1%,2009-01-20 17:44:58,2009-01-19
36,Golub Eugene,Dir,P - Purchase,KRG,$5.39,+431,"+$2,325","57,964",+1%,2009-01-20 17:43:46,2009-01-19
37,C4S & Co LLC,Dir,S - Sale,KNSY,$18.33,"-34,900","-$639,871","503,679",-6%,2009-01-20 17:41:45,2009-01-15
38,Mosler Warren B,"Pres, 10%",P - Purchase,CSLR,$4.97,+400,"+$1,986","4,413,254",0%,2009-01-20 17:41:39,2009-01-20
