,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Guleri Tim,Dir,S - Sale,FIRE,$11.61,"-73,656","-$855,146","635,612",-10%,2009-05-22 21:35:19,2009-05-20
1,Wayne Thomas W,"SVP, CFO",P - Purchase,BKOR,$6.00,+237,"+$1,422","2,136",+12%,2009-05-22 21:11:13,2009-05-21
2,Wayne Thomas W,"SVP, CFO",P - Purchase,BKOR,$6.00,"+1,274","+$7,644","1,899",+204%,2009-05-22 20:53:08,2009-05-20
3,Kahn Jonathan,EVP - Business Operations,S - Sale+OE,SMSI,$9.05,"-5,000","-$45,250","145,000",-3%,2009-05-22 20:29:22,2009-05-19
4,Ingram Peter H,"Pres, European Operations",S - Sale,IXYS,$0.00,"-5,000",-$0,"308,184",-2%,2009-05-22 20:28:10,2009-05-20
5,Kaestner H Todd,EVP,S - Sale,BKD,$11.00,-921,"-$10,131","116,807",-1%,2009-05-22 20:11:34,2009-05-21
6,Ferge Kristin A,EVP,S - Sale,BKD,$11.03,"-1,091","-$12,033","119,250",-1%,2009-05-22 19:52:56,2009-05-21
7,Richardson Bryan D,EVP,S - Sale,BKD,$10.97,-921,"-$10,103","115,719",-1%,2009-05-22 19:40:33,2009-05-21
8,Matheson Kenneth Ian,10%,S - Sale+OE,SRCH,$2.10,"-6,900","-$14,490","3,437,004",0%,2009-05-22 19:37:44,2009-05-19
9,Feeler Jeffrey R,"VP, CFO",P - Purchase,ECOL,$17.62,+300,"+$5,286","2,337",+15%,2009-05-22 19:34:11,2009-05-21
10,"Pike Capital Partners, LP",10%,S - Sale,ADY,$30.51,"-25,300","-$771,964","1,324,026",-2%,2009-05-22 19:31:22,2009-05-22
11,"Pike Capital Partners, LP",10%,S - Sale,ADY,$30.51,"-3,981","-$121,470","175,974",-2%,2009-05-22 19:31:05,2009-05-22
12,"Pike Capital Partners, LP",10%,S - Sale,ADY,$30.28,"-21,916","-$663,529","179,955",-11%,2009-05-22 19:30:10,2009-05-21
13,"Pike Capital Partners, LP",10%,S - Sale,ADY,$30.28,"-165,550","-$5,012,192","1,349,326",-11%,2009-05-22 19:28:45,2009-05-21
