,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
0,Liebman Jeannette L,"Group VP, Global HR",S - Sale+OE,AMAT,$20.92,"-75,000","-$1,569,000","137,400",-35%,2007-08-23 21:43:14,2007-08-21
1,Bridger Management LLC,10%,P - Purchase,TRMS,$7.00,"+10,081","+$70,567","2,510,081",0%,2007-08-23 21:39:07,2007-08-21
2,McCormick James M,"Dir, 10%",S - Sale,SNCR,$33.53,"-3,563","-$119,461","6,326,472",0%,2007-08-23 21:23:47,2007-08-21
3,McCormick James M,"Dir, 10%",S - Sale,SNCR,$33.03,"-3,337","-$110,237","4,330,035",0%,2007-08-23 21:22:50,2007-08-21
4,McCormick James M,"Dir, 10%",S - Sale,SNCR,$32.28,"-3,000","-$96,851","4,333,372",0%,2007-08-23 21:21:37,2007-08-21
5,McCormick James M,"Dir, 10%",S - Sale,SNCR,$30.75,"-2,600","-$79,953","4,336,372",0%,2007-08-23 21:20:29,2007-08-21
6,Kojaian C Michael,"Dir, 10%",P - Purchase,GBE,$8.14,"+25,000","+$203,375","10,061,809",0%,2007-08-23 21:03:46,2007-08-23
7,Edwards Jeffrey G,Dir,P - Purchase,BKD,$35.08,"+50,000","+$1,754,243","1,606,999",+3%,2007-08-23 21:02:31,2007-08-21
8,Luhr Renee M,VP Sales,S - Sale+OE,OMCL,$24.29,"-30,000","-$728,700","30,000",-50%,2007-08-23 21:01:32,2007-08-21
9,Lindholm Randy D,Dir,S - Sale+OE,OMCL,$24.26,"-2,500","-$60,650","7,778",-24%,2007-08-23 21:00:29,2007-08-21
10,Essex Woodlands Health Ventures Fund V LLC,10%,P - Purchase,ACUR,$0.00,"+38,125,924",+$0,"72,821,037",+110%,2007-08-23 20:57:49,2007-08-20
11,Turner Graham,"VP, GM Microcontrlr Bus. Unit",S - Sale+OE,ATML,$5.14,"-70,000","-$359,655","412,452",-15%,2007-08-23 20:49:54,2007-08-21
